"abundance","temperature","taxa"
"41726.4438546868","1","BAET"
"41755.0969560648","1","BAET"
"41242.6026765134","1","BAET"
"42932.7108551719","1","BAET"
"42100.8633568072","1","BAET"
"43025.3967987467","1","BAET"
"43339.4488917604","1","BAET"
"44543.6335465099","1","BAET"
"43333.7282700815","1","BAET"
"42812.4980049236","1","BAET"
"41931.2638303345","1","BAET"
"41636.775052611","1","BAET"
"41281.3015695342","1","BAET"
"40590.6981521192","1","BAET"
"41997.920641556","1","BAET"
"41722.9933732574","1","BAET"
"41915.1107191459","1","BAET"
"41589.2101327728","1","BAET"
"42264.293045693","1","BAET"
"42865.6940688198","1","BAET"
"43082.2167051189","1","BAET"
"42162.3245585913","1","BAET"
"41667.7091182227","1","BAET"
"41038.9586382371","1","BAET"
"39445.0862507227","1","BAET"
"42915.6408032313","1","BAET"
"41863.2525109562","1","BAET"
"41609.8561531032","1","BAET"
"41230.1980972189","1","BAET"
"43305.073593808","1","BAET"
"41971.7756059886","1","BAET"
"42777.5274972315","1","BAET"
"43674.1528472353","1","BAET"
"44833.0820344367","1","BAET"
"43380.5918800472","1","BAET"
"43169.5846712947","1","BAET"
"41852.2189786962","1","BAET"
"41551.6843624166","1","BAET"
"41247.4881746382","1","BAET"
"40621.4669687189","1","BAET"
"41822.9219626481","1","BAET"
"41619.3733855023","1","BAET"
"42064.1702978191","1","BAET"
"41825.4973517947","1","BAET"
"42082.6353451425","1","BAET"
"43017.0927499276","1","BAET"
"43050.9791206053","1","BAET"
"42098.9204076711","1","BAET"
"41906.857467836","1","BAET"
"41222.1296521667","1","BAET"
"39557.622851078","1","BAET"
"42636.1595761297","1","BAET"
"41781.9026763454","1","BAET"
"41545.2546908677","1","BAET"
"41398.3430262577","1","BAET"
"43150.6835294758","1","BAET"
"42114.8438079978","1","BAET"
"42802.0533570408","1","BAET"
"43685.1606784541","1","BAET"
"44734.4000211427","1","BAET"
"43462.5274662923","1","BAET"
"43119.8273911519","1","BAET"
"41940.1573652054","1","BAET"
"41664.5923756255","1","BAET"
"41176.451298312","1","BAET"
"40759.3293273696","1","BAET"
"41930.4054985578","1","BAET"
"41503.6280765807","1","BAET"
"42139.2286882779","1","BAET"
"41787.2950243096","1","BAET"
"42292.186171467","1","BAET"
"42851.380078006","1","BAET"
"43196.7143965398","1","BAET"
"42158.3846885632","1","BAET"
"41845.8647456647","1","BAET"
"41187.0913023467","1","BAET"
"39380.0501628996","1","BAET"
"42974.7987491981","1","BAET"
"41666.4068302105","1","BAET"
"41569.0285288158","1","BAET"
"41456.5829218988","1","BAET"
"43113.4595269847","1","BAET"
"42072.2679778066","1","BAET"
"42723.6323967722","1","BAET"
"43469.8331959192","1","BAET"
"44849.3084038342","1","BAET"
"43378.9187886224","1","BAET"
"42964.5767943236","1","BAET"
"41813.3103263059","1","BAET"
"41685.9376964673","1","BAET"
"41276.2798406824","1","BAET"
"40533.0762411898","1","BAET"
"42109.8642213363","1","BAET"
"41809.4736032472","1","BAET"
