"abundance","temperature","taxa"
"44564.8795131119","1","BAET"
"40713.3915489725","1","BAET"
"45160.0618777947","1","BAET"
"41147.5270221343","1","BAET"
"48830.169140021","1","BAET"
"44381.3889997229","1","BAET"
"47839.0728443128","1","BAET"
"44633.1810947259","1","BAET"
"41715.5407151674","1","BAET"
"39392.4360714362","1","BAET"
"41561.637324323","1","BAET"
"44764.5857175265","1","BAET"
"42056.3051998886","1","BAET"
"38826.9844675661","1","BAET"
"43656.9535333525","1","BAET"
"46699.2409583867","1","BAET"
"41591.484569535","1","BAET"
"37110.2252539528","1","BAET"
"47125.7095544101","1","BAET"
"43536.6295853519","1","BAET"
"45613.2254620825","1","BAET"
"43400.5594078236","1","BAET"
"41664.9758071164","1","BAET"
"39974.6901433976","1","BAET"
"38618.889356048","1","BAET"
"44412.2473438616","1","BAET"
"43412.5371314025","1","BAET"
"39665.0076651141","1","BAET"
"42255.8528563748","1","BAET"
"44035.7385433316","1","BAET"
"40164.3493734916","1","BAET"
"40430.7107383279","1","BAET"
"43936.9878713053","1","BAET"
"43088.7966088943","1","BAET"
"40279.7982360037","1","BAET"
"43673.6210816183","1","BAET"
"40959.6920963323","1","BAET"
"45226.2017158801","1","BAET"
"42505.964764512","1","BAET"
"41037.588495791","1","BAET"
"37478.0900326116","1","BAET"
"46388.4777642009","1","BAET"
"41316.9236710376","1","BAET"
"41958.7822816638","1","BAET"
"37615.9936864413","1","BAET"
"45992.7481949853","1","BAET"
"44312.2163099772","1","BAET"
"44379.4194982456","1","BAET"
"42620.2378114746","1","BAET"
"41148.8265560539","1","BAET"
"41174.6492319047","1","BAET"
"38842.1642598109","1","BAET"
"41904.8911566411","1","BAET"
"44435.0251516747","1","BAET"
"40460.3237968143","1","BAET"
"41159.6133786729","1","BAET"
"41428.0309709909","1","BAET"
"38528.810501134","1","BAET"
"44237.7749504433","1","BAET"
"41268.3709028521","1","BAET"
"29176.6159193668","1","BAET"
"95307.1485596233","1","BAET"
"89905.3065923929","1","BAET"
"85042.2228148175","1","BAET"
"80275.088341696","1","BAET"
"74026.9114786153","1","BAET"
"67824.0175130268","1","BAET"
"60689.0072672315","1","BAET"
"54048.2893293819","1","BAET"
"48212.8384905091","1","BAET"
"42958.7531913174","1","BAET"
"47286.2014468526","1","BAET"
"44655.2428640247","1","BAET"
"42399.5836066014","1","BAET"
"40618.2567281121","1","BAET"
"44826.6393950555","1","BAET"
"41407.2837904154","1","BAET"
"45044.7778968871","1","BAET"
"41161.9264858072","1","BAET"
"42335.7951803748","1","BAET"
"38490.3873819824","1","BAET"
"45115.9991969942","1","BAET"
"52274.8180781134","1","BAET"
"47529.1340051229","1","BAET"
"43362.6341540247","1","BAET"
"40412.8973565762","1","BAET"
"45761.7909336787","1","BAET"
"43241.5710582388","1","BAET"
"45848.1150516757","1","BAET"
"43117.7560609352","1","BAET"
"40485.8509916828","1","BAET"
"37152.1891492987","1","BAET"
"49968.2687133279","1","BAET"
"44675.5161055483","1","BAET"
"39771.4490078988","1","BAET"
"39822.2159540945","1","BAET"
"43446.8675441537","1","BAET"
"44385.3532866847","1","BAET"
"41984.1005212254","1","BAET"
"39920.6985510371","1","BAET"
"39821.0533346636","1","BAET"
"41459.5987536076","1","BAET"
"40431.5198271246","1","BAET"
"38137.9618156799","1","BAET"
"44759.5327922383","1","BAET"
"40909.577461802","1","BAET"
"37226.7747648752","1","BAET"
"48178.428579241","1","BAET"
"43978.2468608636","1","BAET"
"39959.666648568","1","BAET"
"37465.2796793588","1","BAET"
"50622.1926004027","1","BAET"
"47378.4231898923","1","BAET"
"44814.3909357494","1","BAET"
"42034.5423435482","1","BAET"
"43061.2627479436","1","BAET"
"40444.0696741153","1","BAET"
"37126.8982808476","1","BAET"
"49614.7198388148","1","BAET"
"44366.712789116","1","BAET"
"39502.5617734746","1","BAET"
"40256.4708216881","1","BAET"
"44222.1596929734","1","BAET"
"42772.5245931225","1","BAET"
"40451.5009104867","1","BAET"
"43600.4167646756","1","BAET"
"41862.5728421121","1","BAET"
"42082.6320578074","1","BAET"
"38910.9037310067","1","BAET"
"42792.3129069596","1","BAET"
"39134.0167534627","1","BAET"
"44513.7217348146","1","BAET"
"45977.9498733554","1","BAET"
"41920.3522250968","1","BAET"
"38220.0699686895","1","BAET"
"45993.0926542932","1","BAET"
"41970.7379586886","1","BAET"
"40482.4248377515","1","BAET"
"25382.0045430846","1","BAET"
"116557.849757325","1","BAET"
"109997.805295641","1","BAET"
"104098.950348195","1","BAET"
"98308.483741004","1","BAET"
"90694.8209744198","1","BAET"
"83128.5979862233","1","BAET"
"74411.2035997573","1","BAET"
"66292.5842682023","1","BAET"
"59155.1442780067","1","BAET"
"52725.4049307221","1","BAET"
"48566.8264136713","1","BAET"
"45795.4836540979","1","BAET"
"43412.9325196543","1","BAET"
"41525.9515577276","1","BAET"
"39705.5739311405","1","BAET"
"40759.9504811163","1","BAET"
"48010.892669907","1","BAET"
"43859.7658382907","1","BAET"
"46877.6261268526","1","BAET"
"42628.5213434218","1","BAET"
"38775.6706791915","1","BAET"
"44931.3998896492","1","BAET"
"53086.758956714","1","BAET"
"48455.0698293254","1","BAET"
"45190.5973883851","1","BAET"
"42214.1078254839","1","BAET"
"45601.107219466","1","BAET"
"42740.3866105781","1","BAET"
"40155.5734682872","1","BAET"
"42920.1113019838","1","BAET"
"40886.8309739166","1","BAET"
