"abundance","temperature","taxa"
"42846.637833549","1","BAET"
"43002.5178824658","1","BAET"
"42062.0383442402","1","BAET"
"42859.8455908299","1","BAET"
"44586.2116363721","1","BAET"
"44122.546453846","1","BAET"
"44343.3638742007","1","BAET"
"45186.867996959","1","BAET"
"44247.5413567738","1","BAET"
"43544.7877581523","1","BAET"
"42376.1425992203","1","BAET"
"42057.667396976","1","BAET"
"41545.6122001846","1","BAET"
"40677.3091545447","1","BAET"
"42362.9808551346","1","BAET"
"41635.5993287884","1","BAET"
"42081.673912554","1","BAET"
"42328.2299573093","1","BAET"
"42450.5249461605","1","BAET"
"42205.2070490382","1","BAET"
"41858.7559342877","1","BAET"
"40932.5033416083","1","BAET"
"40630.4491415474","1","BAET"
"40512.825388243","1","BAET"
"39526.7408995233","1","BAET"
"43459.0321631499","1","BAET"
"41886.314253346","1","BAET"
"41825.2917563141","1","BAET"
"41312.2179811479","1","BAET"
"42981.9362235345","1","BAET"
"42244.9144437142","1","BAET"
"42780.7067001096","1","BAET"
"43439.6877499956","1","BAET"
"44974.0819775159","1","BAET"
"43771.241928314","1","BAET"
"43313.2825343712","1","BAET"
"41886.976210043","1","BAET"
"41711.3011477491","1","BAET"
"41334.7072039164","1","BAET"
"40480.8435649058","1","BAET"
"42119.4872180793","1","BAET"
"41505.5182533944","1","BAET"
"41935.910762408","1","BAET"
"41928.3417687599","1","BAET"
"42430.4863192245","1","BAET"
"41965.7234278869","1","BAET"
"41959.4002017347","1","BAET"
"40880.2634010942","1","BAET"
"40540.9153208764","1","BAET"
"40486.0239275141","1","BAET"
"39663.2066141712","1","BAET"
"43131.2620588842","1","BAET"
"41646.4346831336","1","BAET"
"41736.7310221162","1","BAET"
"41761.9810404572","1","BAET"
"42875.3522707219","1","BAET"
"41873.6031710295","1","BAET"
"42881.6506066957","1","BAET"
"43823.275012502","1","BAET"
"44478.8063543281","1","BAET"
"27931.0469386349","1","BAET"
"102552.376379985","1","BAET"
"96752.1824032243","1","BAET"
"91533.0119334676","1","BAET"
"86414.5814696655","1","BAET"
"79699.1978252974","1","BAET"
"73030.3201467663","1","BAET"
"65355.3375947721","1","BAET"
"58210.6184835951","1","BAET"
"51942.3452541412","1","BAET"
"47025.261586081","1","BAET"
"44380.0567925756","1","BAET"
"43120.8018829745","1","BAET"
"41835.0892388705","1","BAET"
"41428.0599963345","1","BAET"
"41239.594202705","1","BAET"
"39908.3582045168","1","BAET"
"45203.0091663644","1","BAET"
"43089.015882331","1","BAET"
"43335.4029650464","1","BAET"
"42215.6483840439","1","BAET"
"42788.2074505064","1","BAET"
"44596.2230677165","1","BAET"
"43890.8028649416","1","BAET"
"44347.6319355834","1","BAET"
"45099.6163586427","1","BAET"
"44098.9326933128","1","BAET"
"43528.2757543354","1","BAET"
"42337.6548154285","1","BAET"
"41849.3257752726","1","BAET"
"41467.9805104125","1","BAET"
"40801.7360520226","1","BAET"
"42101.6288229135","1","BAET"
"41542.0213851627","1","BAET"
"42330.3043994518","1","BAET"
"41991.4923790029","1","BAET"
"42254.6980615237","1","BAET"
"42093.4050138882","1","BAET"
"41905.8921336075","1","BAET"
"40885.9942797975","1","BAET"
"40641.6395262508","1","BAET"
"40520.952451061","1","BAET"
"39585.2029419563","1","BAET"
"43348.2784554558","1","BAET"
"41784.786972743","1","BAET"
"41579.1660074835","1","BAET"
"41655.7562727887","1","BAET"
"42863.019380001","1","BAET"
"41867.3403164628","1","BAET"
"42978.4955465632","1","BAET"
"43773.8208807792","1","BAET"
"44382.308910727","1","BAET"
"43248.9941331952","1","BAET"
"42931.4672394266","1","BAET"
"41756.3401188592","1","BAET"
"41636.4442000494","1","BAET"
"41235.3304426128","1","BAET"
"40694.1723428452","1","BAET"
"41876.3785751738","1","BAET"
"41721.2676004244","1","BAET"
"42048.3770093825","1","BAET"
"41673.2736420086","1","BAET"
"42237.994326225","1","BAET"
"41904.4976648959","1","BAET"
"41730.3882581196","1","BAET"
