"abundance","temperature","taxa"
"41726.0270833217","1","BAET"
"41576.4319970384","1","BAET"
"41348.4970499963","1","BAET"
"43142.3650247788","1","BAET"
"42061.6653009759","1","BAET"
"42678.1590280902","1","BAET"
"43805.1769544219","1","BAET"
"44852.1635530304","1","BAET"
"43413.0924355515","1","BAET"
"42969.1202324745","1","BAET"
"41751.5575058493","1","BAET"
"41510.6585248542","1","BAET"
"41459.4974535573","1","BAET"
"40533.724998623","1","BAET"
"41911.9466192409","1","BAET"
"41713.4171227383","1","BAET"
"41998.3467174792","1","BAET"
"41866.6558616687","1","BAET"
"42103.8608840988","1","BAET"
"41942.6462596151","1","BAET"
"41696.1954271692","1","BAET"
"40733.7925180368","1","BAET"
"40548.6374392373","1","BAET"
"40498.7684656995","1","BAET"
"39526.0475262135","1","BAET"
"43156.9307036334","1","BAET"
"41833.4781855061","1","BAET"
"41569.4916517902","1","BAET"
"41362.7122668602","1","BAET"
"43049.7296770307","1","BAET"
"41973.047847837","1","BAET"
"42698.7800928935","1","BAET"
"43751.8348968779","1","BAET"
"44580.6773370683","1","BAET"
"43374.8968789054","1","BAET"
"42984.127911933","1","BAET"
"41763.8156859526","1","BAET"
"41450.3588193588","1","BAET"
"41376.0090744472","1","BAET"
"40677.922548757","1","BAET"
"41743.8706546503","1","BAET"
"41771.0245962277","1","BAET"
"42151.2746672376","1","BAET"
"41752.7053856322","1","BAET"
"42280.9421888666","1","BAET"
"41757.5995382011","1","BAET"
"41602.5310268787","1","BAET"
"40817.3890567378","1","BAET"
"40512.4817670904","1","BAET"
"40557.4006526979","1","BAET"
"39698.3021085055","1","BAET"
"42689.0739979064","1","BAET"
"41707.0274234778","1","BAET"
"41540.8200881081","1","BAET"
"41507.0189114995","1","BAET"
"43038.0852263329","1","BAET"
"42004.2640731002","1","BAET"
"43001.0400646511","1","BAET"
"43603.9753749954","1","BAET"
"44399.9449536956","1","BAET"
"43220.0497421455","1","BAET"
"42728.6690270153","1","BAET"
"41609.2082116511","1","BAET"
"41717.2513051788","1","BAET"
"41294.6603808823","1","BAET"
"40538.1815543428","1","BAET"
"42035.711182331","1","BAET"
"41587.4362054211","1","BAET"
"41944.3822376617","1","BAET"
"41761.7619871187","1","BAET"
"42246.2849422326","1","BAET"
"41897.6237988874","1","BAET"
"41655.5033889869","1","BAET"
"40746.9800285012","1","BAET"
"40588.9612177893","1","BAET"
"40541.8591535998","1","BAET"
"39575.867960903","1","BAET"
"43135.801103522","1","BAET"
"41718.2844365173","1","BAET"
"41570.3214210252","1","BAET"
"41610.3838890044","1","BAET"
"43114.4910023327","1","BAET"
"41764.8178234723","1","BAET"
"42771.0888186978","1","BAET"
"43710.9657028398","1","BAET"
"44655.8839367773","1","BAET"
"43369.9695304697","1","BAET"
"42876.1609222399","1","BAET"
"41762.7609846434","1","BAET"
"41559.6341260092","1","BAET"
"41336.8740560724","1","BAET"
"40417.9150135623","1","BAET"
"42147.2513395429","1","BAET"
"41816.1681507751","1","BAET"
"41906.0747871734","1","BAET"
"41745.6655113172","1","BAET"
"42519.4112565331","1","BAET"
"42042.1518558308","1","BAET"
"41768.5410777781","1","BAET"
"40779.7137627587","1","BAET"
"40560.7877410651","1","BAET"
"40563.2976296844","1","BAET"
"39654.5279096058","1","BAET"
"42972.4778510797","1","BAET"
"41735.1341494089","1","BAET"
"41589.3125336034","1","BAET"
"41503.886501194","1","BAET"
"43005.281131261","1","BAET"
"41794.1816943704","1","BAET"
"43025.8650858512","1","BAET"
"43682.0104533712","1","BAET"
"44509.823483287","1","BAET"
"43076.8472844644","1","BAET"
"42840.8024832531","1","BAET"
"41845.7233893292","1","BAET"
"41601.6918450461","1","BAET"
"41269.001039402","1","BAET"
"40726.9681283887","1","BAET"
"41897.3091124849","1","BAET"
"41629.4790154472","1","BAET"
"41910.1468031759","1","BAET"
"41945.5577122291","1","BAET"
"41995.2832870477","1","BAET"
"41783.531783881","1","BAET"
"41629.9614467953","1","BAET"
"40786.09438963","1","BAET"
"40445.9517194799","1","BAET"
"40582.9519320606","1","BAET"
"39644.0914156067","1","BAET"
"43009.3657138085","1","BAET"
"41788.6680024371","1","BAET"
"41544.6487599467","1","BAET"
"41474.0643927807","1","BAET"
"42915.0358042227","1","BAET"
"41944.5870963735","1","BAET"
"42793.6099923193","1","BAET"
"43768.7246623976","1","BAET"
"44674.129151329","1","BAET"
"43227.1014869137","1","BAET"
"42924.7019446966","1","BAET"
"41681.7938278777","1","BAET"
"41649.6680370938","1","BAET"
"41361.9316024485","1","BAET"
"40540.4143254982","1","BAET"
"42163.4153289662","1","BAET"
"41571.0461874511","1","BAET"
"41975.0773800808","1","BAET"
"41858.8455310409","1","BAET"
"42357.1066116841","1","BAET"
"42047.8544373322","1","BAET"
"41662.4398544068","1","BAET"
"40814.2300357858","1","BAET"
"40620.5352230499","1","BAET"
"40469.7988485238","1","BAET"
"39486.0834636959","1","BAET"
"43323.7247472424","1","BAET"
"41812.88399253","1","BAET"
"41581.9018218865","1","BAET"
"41485.5462746235","1","BAET"
"42919.4855429936","1","BAET"
"41715.9133736768","1","BAET"
"42737.3925214311","1","BAET"
"43890.1339451076","1","BAET"
"44637.054286267","1","BAET"
"43329.8138531201","1","BAET"
"42926.6080609869","1","BAET"
"41814.0488649548","1","BAET"
"41436.8460708409","1","BAET"
"41298.9185988187","1","BAET"
"40632.6552142439","1","BAET"
"41942.8564204825","1","BAET"
"41586.8508603704","1","BAET"
"41972.6313857725","1","BAET"
"41775.7059256687","1","BAET"
"42412.6992094986","1","BAET"
"41811.5279418607","1","BAET"
"41662.5783406356","1","BAET"
"40755.6135198239","1","BAET"
"40547.1524772678","1","BAET"
"40462.3670364308","1","BAET"
"39568.9370253426","1","BAET"
"43155.2518267174","1","BAET"
"41742.4295226621","1","BAET"
"41565.027369309","1","BAET"
"41520.4130526976","1","BAET"
"43050.6753932892","1","BAET"
"41935.3197370621","1","BAET"
"42706.683948227","1","BAET"
"43902.0895401576","1","BAET"
"44882.2689474371","1","BAET"
"43358.366792265","1","BAET"
"42954.7137070385","1","BAET"
"41793.5903279395","1","BAET"
"41543.6269439818","1","BAET"
"41291.1936290167","1","BAET"
"40654.0557944026","1","BAET"
"41808.1616809314","1","BAET"
"41718.5239085299","1","BAET"
"41902.8219499688","1","BAET"
"41786.8479039773","1","BAET"
"42412.1015465226","1","BAET"
"42018.7257923259","1","BAET"
"41743.3996481608","1","BAET"
"40761.6416724161","1","BAET"
"40627.6420502358","1","BAET"
"40453.1335076429","1","BAET"
"39675.2480387837","1","BAET"
"42917.6108128576","1","BAET"
"41551.5275698369","1","BAET"
"41586.1835688541","1","BAET"
"41655.3213382438","1","BAET"
"42775.3012155259","1","BAET"
"41833.0946666031","1","BAET"
"43013.712250043","1","BAET"
"43620.3214050728","1","BAET"
"44493.3454445188","1","BAET"
"43332.0200869064","1","BAET"
"42917.6633754561","1","BAET"
"41876.4407251464","1","BAET"
"41598.3765537603","1","BAET"
"41267.6612563663","1","BAET"
"40459.0062124068","1","BAET"
"42079.1622939873","1","BAET"
"41706.2025267727","1","BAET"
"41883.0836784185","1","BAET"
"42000.1980147893","1","BAET"
"42180.7719746225","1","BAET"
"42092.5747858066","1","BAET"
"41730.6183126501","1","BAET"
"40682.5655425905","1","BAET"
"40617.4630400354","1","BAET"
"40532.5854618647","1","BAET"
"39572.8023911793","1","BAET"
"43002.4676765592","1","BAET"
"41821.4515118051","1","BAET"
"41554.090489835","1","BAET"
"41527.2405186111","1","BAET"
"43001.435496483","1","BAET"
"41780.3136916533","1","BAET"
"42867.7271519753","1","BAET"
"43956.0124442739","1","BAET"
"44737.7259925953","1","BAET"
"43279.5243063088","1","BAET"
"43079.7653028281","1","BAET"
"41710.3790461398","1","BAET"
"41688.481663444","1","BAET"
"41330.3270431405","1","BAET"
"40495.6685810752","1","BAET"
"42169.1269335106","1","BAET"
"41572.7171445354","1","BAET"
"41974.250406544","1","BAET"
"41562.6910173442","1","BAET"
"42341.4909181653","1","BAET"
"42148.0230423552","1","BAET"
"41785.2011919764","1","BAET"
"40776.8318665079","1","BAET"
"40590.0034554788","1","BAET"
"40457.1585553878","1","BAET"
"39608.1675447814","1","BAET"
"43119.5846422076","1","BAET"
"41725.8618797614","1","BAET"
"41688.1981216644","1","BAET"
"41512.2676152977","1","BAET"
"42995.5179764973","1","BAET"
"41822.1077331479","1","BAET"
"42918.5538651462","1","BAET"
"43648.7497400169","1","BAET"
"44626.0401304601","1","BAET"
"43197.379048294","1","BAET"
"42857.3895049566","1","BAET"
"41829.0073824417","1","BAET"
"41504.6859012213","1","BAET"
"41194.6319512415","1","BAET"
"40510.4741735234","1","BAET"
"42141.416455541","1","BAET"
"41483.5279035368","1","BAET"
"41983.7610948324","1","BAET"
"42061.0797420155","1","BAET"
"42330.5097037071","1","BAET"
"41872.4198741479","1","BAET"
"41707.9908459063","1","BAET"
"40753.7796034498","1","BAET"
"40568.1939736025","1","BAET"
"40519.2718608574","1","BAET"
"39617.9249400265","1","BAET"
"43000.1858690511","1","BAET"
"41614.2781594317","1","BAET"
"41685.4739593017","1","BAET"
"41624.3415744471","1","BAET"
"43015.4607501831","1","BAET"
"41883.4094435805","1","BAET"
"42700.2687064289","1","BAET"
"43490.8262149331","1","BAET"
"44456.5103116049","1","BAET"
"43263.391308916","1","BAET"
"42871.6382425648","1","BAET"
"41730.0486346055","1","BAET"
"41572.3218551305","1","BAET"
"41255.7935390058","1","BAET"
"40468.1147839091","1","BAET"
"41960.743522146","1","BAET"
"41751.2712690872","1","BAET"
"42002.3713445147","1","BAET"
"41689.7634878536","1","BAET"
"42013.6209287397","1","BAET"
"42094.4474581571","1","BAET"
"41709.2479897429","1","BAET"
"40805.9631192999","1","BAET"
"40589.6734238587","1","BAET"
"40420.7656543817","1","BAET"
"39619.0912183642","1","BAET"
"43178.3477131077","1","BAET"
"41718.4479767469","1","BAET"
"41767.0489118777","1","BAET"
"41591.5749836872","1","BAET"
"42795.204687094","1","BAET"
"41762.8657479035","1","BAET"
"42800.6276898603","1","BAET"
"43694.6394899983","1","BAET"
"44518.4531574307","1","BAET"
"43343.1542013423","1","BAET"
"42889.9292380402","1","BAET"
"41636.6503884263","1","BAET"
"41539.3621707941","1","BAET"
"41404.7790832043","1","BAET"
"40544.353505132","1","BAET"
"41911.6470860551","1","BAET"
"41689.2156288744","1","BAET"
"42025.8157372009","1","BAET"
"41704.3822002054","1","BAET"
"42316.1281547643","1","BAET"
"42174.7360979774","1","BAET"
"41766.4754940836","1","BAET"
"40792.5870370607","1","BAET"
"40539.7940553656","1","BAET"
"40512.180066364","1","BAET"
"39637.6931786034","1","BAET"
"43088.2311876963","1","BAET"
"41537.9517316927","1","BAET"
"41841.3997853356","1","BAET"
"41504.9407243989","1","BAET"
"42805.2041779205","1","BAET"
"41772.9382875452","1","BAET"
"42945.3768326093","1","BAET"
"43698.1624019883","1","BAET"
"44610.2045295993","1","BAET"
"43372.8424827738","1","BAET"
"43071.8945542516","1","BAET"
"41701.505535401","1","BAET"
"41531.1737613853","1","BAET"
"41310.560020452","1","BAET"
"40753.8682310984","1","BAET"
"41816.9426763573","1","BAET"
"41395.820102941","1","BAET"
"42291.4492431058","1","BAET"
"41720.7737789527","1","BAET"
"42229.4851304845","1","BAET"
"41866.6650980034","1","BAET"
"41691.2106668101","1","BAET"
"40796.7798196217","1","BAET"
"40605.1034672236","1","BAET"
"40406.1241701433","1","BAET"
"39597.2421674542","1","BAET"
"43263.1773005017","1","BAET"
"41556.267804861","1","BAET"
"41701.3712123898","1","BAET"
"41571.9589235573","1","BAET"
"42948.4750560092","1","BAET"
"41975.3651750168","1","BAET"
"42713.1659965967","1","BAET"
"43706.9776663338","1","BAET"
"44400.8021838352","1","BAET"
"43267.6249225435","1","BAET"
"42919.0275751209","1","BAET"
"41621.6040537453","1","BAET"
"41540.3028898317","1","BAET"
"41424.9939138317","1","BAET"
"40754.0429659773","1","BAET"
"41654.3018455225","1","BAET"
"41550.8074269335","1","BAET"
"42218.6018182936","1","BAET"
"41841.1547873409","1","BAET"
"42154.4347441283","1","BAET"
"41839.3224790539","1","BAET"
"41741.7332337464","1","BAET"
"40751.7161413819","1","BAET"
"40500.4278040331","1","BAET"
"40565.7102351826","1","BAET"
"39604.8381275203","1","BAET"
"43023.3472754222","1","BAET"
"41651.3409042293","1","BAET"
"41663.8846584937","1","BAET"
"41580.179423981","1","BAET"
"42904.2436284364","1","BAET"
"41889.2293471345","1","BAET"
"42614.6735790501","1","BAET"
"43468.1510604001","1","BAET"
"44540.3339361915","1","BAET"
"43267.5952312164","1","BAET"
"42994.6282948148","1","BAET"
"41762.508207567","1","BAET"
"41714.7480455725","1","BAET"
"41239.2948048416","1","BAET"
"40703.7052177646","1","BAET"
"41917.0636665048","1","BAET"
"41459.9983674516","1","BAET"
"42151.845385907","1","BAET"
"41863.1860169654","1","BAET"
"42365.3448572742","1","BAET"
"41878.1534735087","1","BAET"
"41600.4667179797","1","BAET"
"40835.1754727887","1","BAET"
"40572.4344824971","1","BAET"
"40450.9431577368","1","BAET"
"39643.564328436","1","BAET"
"43150.8892559726","1","BAET"
"41683.1746540374","1","BAET"
"41840.7397705923","1","BAET"
"41666.7796841313","1","BAET"
"42799.389035386","1","BAET"
"41734.6069623026","1","BAET"
"43110.5571912132","1","BAET"
"43682.9366864674","1","BAET"
"44432.8563247679","1","BAET"
"43067.4304740543","1","BAET"
"42980.4113781025","1","BAET"
"41963.6183046033","1","BAET"
"41613.8777834094","1","BAET"
"41247.0306279548","1","BAET"
"40633.9493817067","1","BAET"
"42012.7015626927","1","BAET"
"41515.3968173563","1","BAET"
"42013.7150975621","1","BAET"
"41927.1906440791","1","BAET"
"42387.1880809817","1","BAET"
"41944.4587007217","1","BAET"
"41700.492962123","1","BAET"
"40791.339643357","1","BAET"
"40618.8755090999","1","BAET"
"40429.9438813383","1","BAET"
"39555.1046993013","1","BAET"
"43229.2182808188","1","BAET"
"41724.6703322906","1","BAET"
"41562.7810783448","1","BAET"
"41628.1486424233","1","BAET"
"42881.3674840358","1","BAET"
"41965.9927466313","1","BAET"
"42941.9497126","1","BAET"
"43713.2929764843","1","BAET"
"44567.1259922987","1","BAET"
"43339.656264279","1","BAET"
"43034.3781062086","1","BAET"
"41717.6765268231","1","BAET"
"41510.8408689325","1","BAET"
"41266.0017231946","1","BAET"
"40698.6675791279","1","BAET"
"41704.18105157","1","BAET"
"41615.2900706928","1","BAET"
"42468.607283914","1","BAET"
"41715.2678077324","1","BAET"
"42004.1439276699","1","BAET"
"41823.4218057142","1","BAET"
"41710.4868333026","1","BAET"
"40865.1251540362","1","BAET"
"40529.3384331874","1","BAET"
"40523.2600324314","1","BAET"
"39679.1591953493","1","BAET"
"42804.4512272964","1","BAET"
"41556.1683930393","1","BAET"
"41829.1132981918","1","BAET"
"41591.7102553139","1","BAET"
"42958.6204836616","1","BAET"
"41816.6634978153","1","BAET"
"43303.8032063632","1","BAET"
"43571.3553344613","1","BAET"
"44503.5720863193","1","BAET"
"43181.1728296183","1","BAET"
"42823.3903587961","1","BAET"
"41720.7527398008","1","BAET"
"41740.1317776509","1","BAET"
"41366.8652841202","1","BAET"
"40479.0401436578","1","BAET"
"41885.127839911","1","BAET"
"41848.2165911258","1","BAET"
"41881.2387651011","1","BAET"
"41639.5728811331","1","BAET"
"42341.577182363","1","BAET"
"42027.3190629969","1","BAET"
"41779.0446983629","1","BAET"
"40765.8851126071","1","BAET"
"40494.5736789291","1","BAET"
"40556.4561579243","1","BAET"
"39687.4400642123","1","BAET"
"42984.624368558","1","BAET"
"41603.9053647572","1","BAET"
"41780.6394247929","1","BAET"
"41726.6405300387","1","BAET"
"43054.5170357015","1","BAET"
"41709.6807690132","1","BAET"
"42680.1634399389","1","BAET"
"43692.2261939728","1","BAET"
"44486.5841689317","1","BAET"
"43407.2814282926","1","BAET"
"43035.631768757","1","BAET"
"41807.4337314569","1","BAET"
"41487.2879727863","1","BAET"
"41373.9863802815","1","BAET"
"40535.5815521723","1","BAET"
"42005.7416534222","1","BAET"
"41523.0342796898","1","BAET"
"42052.5974928311","1","BAET"
"41850.5663923773","1","BAET"
"42160.5038647969","1","BAET"
"41771.8101859219","1","BAET"
"41601.1861845226","1","BAET"
"40821.7957499261","1","BAET"
"40601.1207440401","1","BAET"
"40483.8046068865","1","BAET"
"39655.6449951107","1","BAET"
"42977.5686370193","1","BAET"
"41631.0021459557","1","BAET"
"41717.8499886382","1","BAET"
"41636.5665568555","1","BAET"
"42969.9608910036","1","BAET"
"41681.205034006","1","BAET"
"42836.5668033741","1","BAET"
"43746.5248164829","1","BAET"
"44884.9873555112","1","BAET"
"43501.784143841","1","BAET"
"43083.0032039732","1","BAET"
"41764.8656111436","1","BAET"
"41671.7619893492","1","BAET"
"41394.1624043341","1","BAET"
"40617.3356054249","1","BAET"
"41961.5046239434","1","BAET"
"41569.6967369951","1","BAET"
"42354.6024279864","1","BAET"
"41603.6410544597","1","BAET"
"42102.7611087366","1","BAET"
"42081.2595499422","1","BAET"
"41846.0111965116","1","BAET"
"40833.507908359","1","BAET"
"40545.0636484312","1","BAET"
"40432.1886244034","1","BAET"
"39688.4068194747","1","BAET"
"43084.8527031448","1","BAET"
"41636.6776044883","1","BAET"
"41901.325032782","1","BAET"
"41497.89365852","1","BAET"
"42846.4919608839","1","BAET"
"42023.32077554","1","BAET"
"42863.5101470936","1","BAET"
"43820.013313567","1","BAET"
"44724.6293314235","1","BAET"
"43347.1035176421","1","BAET"
"42995.4388048644","1","BAET"
"41780.0076795768","1","BAET"
"41570.6676410691","1","BAET"
"41378.3701446306","1","BAET"
"40642.0544144178","1","BAET"
"41949.3834142723","1","BAET"
"41461.3126064354","1","BAET"
"42100.5478745843","1","BAET"
"41934.4973032614","1","BAET"
"42238.1353420616","1","BAET"
"41661.2220523579","1","BAET"
"41725.4128590275","1","BAET"
"40699.1285513469","1","BAET"
"40574.4790468955","1","BAET"
"40529.2889565118","1","BAET"
"39642.4237240425","1","BAET"
"42919.1339113679","1","BAET"
"41698.0897062438","1","BAET"
"41391.1496821194","1","BAET"
"41697.3658665446","1","BAET"
"42945.6068541064","1","BAET"
"42137.6599520091","1","BAET"
"42613.5740286187","1","BAET"
"43699.2172352447","1","BAET"
"44662.017351584","1","BAET"
"43419.3596219643","1","BAET"
"43016.0727457074","1","BAET"
"41812.9293026005","1","BAET"
"41584.9257403666","1","BAET"
"41312.7927210014","1","BAET"
"40557.5179076644","1","BAET"
"42048.4446131636","1","BAET"
"41725.2461418558","1","BAET"
"41929.3098373122","1","BAET"
"41559.4171089728","1","BAET"
"42294.9858903932","1","BAET"
"41909.6186906545","1","BAET"
"41684.2049657458","1","BAET"
"40756.1863721591","1","BAET"
"40534.7840202246","1","BAET"
"40580.334484599","1","BAET"
"39512.3099933244","1","BAET"
"43162.9620463402","1","BAET"
"41846.8107136415","1","BAET"
"41633.3768653845","1","BAET"
"41405.3775108859","1","BAET"
"43078.6618147653","1","BAET"
"41788.2767281734","1","BAET"
"42774.4750337772","1","BAET"
"43558.6112613223","1","BAET"
"44891.523516794","1","BAET"
"43410.6172454209","1","BAET"
"43183.2988688097","1","BAET"
"41863.5069114958","1","BAET"
"41576.5762693048","1","BAET"
"41278.9004778927","1","BAET"
"40680.9736475717","1","BAET"
"42005.3718875295","1","BAET"
"41339.0137178112","1","BAET"
"42012.6161477102","1","BAET"
"42047.7059987158","1","BAET"
"42175.7642897822","1","BAET"
"41946.4146840793","1","BAET"
"41643.8220246336","1","BAET"
"40821.0212678427","1","BAET"
"40539.8738696874","1","BAET"
"40423.0446553449","1","BAET"
"39606.3770374018","1","BAET"
"43212.0238642697","1","BAET"
"41621.3050777628","1","BAET"
"41817.6108714777","1","BAET"
"41416.6503796399","1","BAET"
"42978.6016501477","1","BAET"
"41984.1759670365","1","BAET"
"43117.7202331548","1","BAET"
"43507.0238587738","1","BAET"
"44868.5084591131","1","BAET"
"43432.8719535202","1","BAET"
"43072.5154986359","1","BAET"
"41797.0180237049","1","BAET"
"41564.5112509804","1","BAET"
"41184.1893603175","1","BAET"
"40656.0448016867","1","BAET"
"42037.7278168683","1","BAET"
"41535.6385017607","1","BAET"
"42105.6322541452","1","BAET"
"41796.6049792427","1","BAET"
"42328.6381406212","1","BAET"
"41744.853871961","1","BAET"
"41726.4503533227","1","BAET"
"40828.7348360926","1","BAET"
"40559.713700855","1","BAET"
"40399.4001598265","1","BAET"
"39682.1837664244","1","BAET"
"43090.616891168","1","BAET"
"41597.0438118006","1","BAET"
"41642.0271207202","1","BAET"
"41800.7740537227","1","BAET"
"42972.9920846618","1","BAET"
"41635.996685912","1","BAET"
"43150.2313073933","1","BAET"
"43837.7268418318","1","BAET"
"44644.1766015798","1","BAET"
"43231.7768712557","1","BAET"
"42977.2972495813","1","BAET"
"41740.8256434696","1","BAET"
"41669.5206249353","1","BAET"
"41308.8686851133","1","BAET"
"40522.0901003133","1","BAET"
"42006.7925664717","1","BAET"
"41801.9901653223","1","BAET"
"41910.4026862033","1","BAET"
"41618.7614797356","1","BAET"
"42394.1932402057","1","BAET"
"41951.8110020387","1","BAET"
"41716.2484876948","1","BAET"
"40794.8165615113","1","BAET"
"40472.9700585674","1","BAET"
"40583.4052785495","1","BAET"
"39526.9736508924","1","BAET"
"43187.4675020338","1","BAET"
"41951.8914995097","1","BAET"
"41600.8216562612","1","BAET"
"41297.1791790403","1","BAET"
"42967.1544574119","1","BAET"
"41856.0878049382","1","BAET"
"42749.2685504674","1","BAET"
"43724.6603484309","1","BAET"
"44720.7241923512","1","BAET"
"43450.8530290904","1","BAET"
"43088.772069827","1","BAET"
"41881.6063107721","1","BAET"
"41632.06134323","1","BAET"
"41238.4377044348","1","BAET"
"40591.1457791943","1","BAET"
"41956.6790603824","1","BAET"
"41715.7742992859","1","BAET"
"41929.7123666984","1","BAET"
"41876.7031925201","1","BAET"
"42257.1603031081","1","BAET"
"41938.0039664686","1","BAET"
"41711.8047273664","1","BAET"
"40796.4822948304","1","BAET"
"40590.1725447471","1","BAET"
"40551.0824834054","1","BAET"
"39464.2135813627","1","BAET"
"43391.8763246421","1","BAET"
"41813.3281766987","1","BAET"
"41591.5512104666","1","BAET"
"41384.3592809473","1","BAET"
"42914.4628677867","1","BAET"
"42067.5513899167","1","BAET"
"42728.3747532522","1","BAET"
"43696.3700537559","1","BAET"
"44701.7722228018","1","BAET"
"43322.3216539395","1","BAET"
"42897.2947163523","1","BAET"
"41681.6677720546","1","BAET"
"41436.7173995582","1","BAET"
"41262.1540895392","1","BAET"
"40747.2173078541","1","BAET"
"41946.2620021829","1","BAET"
"41607.7732267417","1","BAET"
"42201.7251056599","1","BAET"
"41611.8554210494","1","BAET"
"42206.2047622709","1","BAET"
"42062.67551584","1","BAET"
"41820.2620713626","1","BAET"
"40809.7432964316","1","BAET"
"40538.1089902857","1","BAET"
"40472.0028119577","1","BAET"
"39555.9616272522","1","BAET"
"43179.2983141385","1","BAET"
"41688.2286645959","1","BAET"
"41604.5798781455","1","BAET"
"41486.5211396127","1","BAET"
"43092.0569349474","1","BAET"
"42067.2726981918","1","BAET"
"42764.3365077716","1","BAET"
"43679.598136521","1","BAET"
"44517.1775150974","1","BAET"
"43114.5533973217","1","BAET"
"42948.2005119687","1","BAET"
"41753.5671658559","1","BAET"
"41624.4968502381","1","BAET"
"41271.9701740516","1","BAET"
"40698.2000077073","1","BAET"
"41743.836560832","1","BAET"
"41590.7445788421","1","BAET"
"42167.0900702039","1","BAET"
"42010.038971786","1","BAET"
"42431.7560865106","1","BAET"
"41729.6406747377","1","BAET"
"41677.4837416119","1","BAET"
"40685.1950082238","1","BAET"
"40560.9993605055","1","BAET"
"40558.9178733084","1","BAET"
"39550.6785437128","1","BAET"
"43194.8951517175","1","BAET"
"41700.3176117562","1","BAET"
"41686.6584414979","1","BAET"
"41553.8026915119","1","BAET"
"43072.095667883","1","BAET"
"42005.1008492597","1","BAET"
"42595.6535931835","1","BAET"
"43471.7610002803","1","BAET"
"44659.9260091656","1","BAET"
"43413.220117116","1","BAET"
"43079.0701154927","1","BAET"
"41699.7662756897","1","BAET"
"41644.9140877784","1","BAET"
"41365.3812497348","1","BAET"
"40561.105885474","1","BAET"
"42096.7299440891","1","BAET"
"41562.7625149391","1","BAET"
"42159.7386196936","1","BAET"
"41626.7875480628","1","BAET"
"42327.8607304506","1","BAET"
"42118.245239149","1","BAET"
"41807.1016988836","1","BAET"
"40850.5565394583","1","BAET"
"40538.9820982365","1","BAET"
"40404.650469882","1","BAET"
"39643.9158631603","1","BAET"
"43187.3509347521","1","BAET"
"41755.9470824161","1","BAET"
"41611.4548337411","1","BAET"
"41675.5548720664","1","BAET"
"42697.955572126","1","BAET"
"41666.5694033741","1","BAET"
"42892.9061023695","1","BAET"
"43942.2403709437","1","BAET"
"44729.0739928647","1","BAET"
"43345.307959701","1","BAET"
"42996.3161836365","1","BAET"
"41826.2658447621","1","BAET"
"41573.2550883318","1","BAET"
"41252.5891526874","1","BAET"
"40766.0809186155","1","BAET"
"41988.6092008993","1","BAET"
"41595.4188734227","1","BAET"
"42039.4871910073","1","BAET"
"41588.9881331419","1","BAET"
"42475.7622626426","1","BAET"
"41953.9872043914","1","BAET"
"41771.1116032335","1","BAET"
"40766.3591920262","1","BAET"
"40546.9849832317","1","BAET"
"40510.4961880586","1","BAET"
"39608.3205018097","1","BAET"
"43078.0839729883","1","BAET"
"41679.8289243978","1","BAET"
"41544.2410574143","1","BAET"
"41568.7931165337","1","BAET"
"42961.406313082","1","BAET"
"41881.510646793","1","BAET"
"42952.3249266832","1","BAET"
"44001.3984560635","1","BAET"
"44979.0134254019","1","BAET"
"43505.6054655409","1","BAET"
"43042.7014897131","1","BAET"
"41860.4059570392","1","BAET"
"41595.9859033787","1","BAET"
"41300.9058430131","1","BAET"
"40569.7893918602","1","BAET"
"42122.1255862207","1","BAET"
"41467.1206632642","1","BAET"
"42130.5476860363","1","BAET"
"41739.1570620617","1","BAET"
"42184.4306893281","1","BAET"
"41931.1744828685","1","BAET"
"41723.0049680287","1","BAET"
"40740.8618767625","1","BAET"
"40568.2629401342","1","BAET"
"40535.3977270861","1","BAET"
"39566.9638813089","1","BAET"
"43089.1680500453","1","BAET"
"41754.2625158952","1","BAET"
"41332.1371557207","1","BAET"
"41655.3476606885","1","BAET"
"42827.0588884658","1","BAET"
"41799.2277533308","1","BAET"
"42896.1247993379","1","BAET"
"43644.5642791357","1","BAET"
"44493.9060648788","1","BAET"
"43208.0443746975","1","BAET"
"42847.0877906187","1","BAET"
"41604.1158686425","1","BAET"
"41664.5809227007","1","BAET"
"41434.5104898331","1","BAET"
"40726.9119854192","1","BAET"
"41812.5924509983","1","BAET"
"41436.5746062174","1","BAET"
"42001.7976137169","1","BAET"
"41888.1753440638","1","BAET"
"42311.3690109848","1","BAET"
"41850.2176148377","1","BAET"
"41725.4039265195","1","BAET"
"40739.5699656859","1","BAET"
"40506.2838779982","1","BAET"
"40550.1657434184","1","BAET"
"39588.2432065627","1","BAET"
"43106.3713543302","1","BAET"
"41720.1913376257","1","BAET"
"41642.6897626325","1","BAET"
"41532.817059834","1","BAET"
"43064.7382472848","1","BAET"
"41920.1885651461","1","BAET"
"42687.5373592706","1","BAET"
"43495.2718426949","1","BAET"
"44746.6991580753","1","BAET"
"43391.2548551948","1","BAET"
"43089.228779455","1","BAET"
"41804.044748149","1","BAET"
"41673.9422922098","1","BAET"
"41319.1315624565","1","BAET"
"40498.7755762955","1","BAET"
"42049.5576225001","1","BAET"
"41748.3585255989","1","BAET"
