"abundance","temperature","taxa"
"26791.8849171297","1","CHIR"
"15069.1102918625","1","CHIR"
"16178.7382712203","1","CHIR"
"84862.6598758429","1","CHIR"
"35303.944410563","1","CHIR"
"15935.5220733103","1","CHIR"
"13415.7773087049","1","CHIR"
"57995.8628127422","1","CHIR"
"26206.8480909752","1","CHIR"
"13312.3561027963","1","CHIR"
"9695.39112672611","1","CHIR"
"44118.087181602","1","CHIR"
"24916.2776018359","1","CHIR"
"15212.3424237688","1","CHIR"
"14221.6736433263","1","CHIR"
"33518.8949318737","1","CHIR"
"22183.9346383156","1","CHIR"
"14328.2994892044","1","CHIR"
"12552.5602368822","1","CHIR"
"64571.3987517517","1","CHIR"
"39978.5541755322","1","CHIR"
"26122.9046009703","1","CHIR"
"16076.6037456322","1","CHIR"
"13424.1341551977","1","CHIR"
"74889.8892493052","1","CHIR"
"45766.6567704562","1","CHIR"
"27464.6224599592","1","CHIR"
"15921.5515161951","1","CHIR"
"14763.4945679006","1","CHIR"
"88214.5249190534","1","CHIR"
"36628.0233578307","1","CHIR"
"16363.4863911557","1","CHIR"
"12227.1345264353","1","CHIR"
"60171.372834228","1","CHIR"
"26821.2567949254","1","CHIR"
"13234.123840261","1","CHIR"
"9772.10020918591","1","CHIR"
"45688.2103929101","1","CHIR"
"25788.1143033274","1","CHIR"
"15183.6783410193","1","CHIR"
"13830.4526911583","1","CHIR"
"34287.3167738746","1","CHIR"
"22094.8981271561","1","CHIR"
"14612.4802056806","1","CHIR"
"10865.0460093836","1","CHIR"
"66485.5617055676","1","CHIR"
"40084.7108670653","1","CHIR"
"26680.0356763247","1","CHIR"
"16581.939095364","1","CHIR"
"11676.0326816012","1","CHIR"
"76759.5681932667","1","CHIR"
"46160.5714704162","1","CHIR"
"28031.6946399836","1","CHIR"
"16108.4252278256","1","CHIR"
"11995.2185862982","1","CHIR"
"91127.8846152215","1","CHIR"
"37605.6551068119","1","CHIR"
"16830.291948101","1","CHIR"
"10021.4599927801","1","CHIR"
"62317.5479305455","1","CHIR"
"27530.1353888127","1","CHIR"
"13487.3870764282","1","CHIR"
"8659.37722321152","1","CHIR"
"47442.3085410924","1","CHIR"
"25802.6417997804","1","CHIR"
"15374.9076273775","1","CHIR"
"12589.9339295101","1","CHIR"
"35016.786797662","1","CHIR"
"21834.6290858998","1","CHIR"
"13877.3915245544","1","CHIR"
"10964.6951629065","1","CHIR"
"67465.7601524167","1","CHIR"
"40738.2625274602","1","CHIR"
"25430.4284067877","1","CHIR"
"15145.2197792069","1","CHIR"
"11454.3628298496","1","CHIR"
"79262.3708051654","1","CHIR"
"47032.0265844647","1","CHIR"
"27417.2426546191","1","CHIR"
"14652.8750315802","1","CHIR"
"12788.34064208","1","CHIR"
"94925.3462953579","1","CHIR"
"37881.1353262456","1","CHIR"
"15730.680806975","1","CHIR"
"10736.2692036558","1","CHIR"
"64660.527261585","1","CHIR"
"27851.7255307059","1","CHIR"
"13366.9050676228","1","CHIR"
"8918.61950541796","1","CHIR"
"49106.3799413226","1","CHIR"
"26303.3036117082","1","CHIR"
"15571.8260133261","1","CHIR"
"12626.6573365729","1","CHIR"
"36007.9832113618","1","CHIR"
"22135.5383733315","1","CHIR"
"14031.3127559476","1","CHIR"
"10353.5700701136","1","CHIR"
"69507.8739252545","1","CHIR"
"41338.9525038532","1","CHIR"
"25850.4576895376","1","CHIR"
"14904.5503129661","1","CHIR"
"10659.1670955388","1","CHIR"
"81055.1477862633","1","CHIR"
"47331.0743173258","1","CHIR"
"27736.7049452529","1","CHIR"
"14667.4624743526","1","CHIR"
"11025.9080174827","1","CHIR"
"96780.3157115106","1","CHIR"
"38370.551417599","1","CHIR"
"15678.8317724489","1","CHIR"
"9499.84058614485","1","CHIR"
"65943.8185429712","1","CHIR"
"27874.5438766227","1","CHIR"
"13455.7218444028","1","CHIR"
"8297.12672097509","1","CHIR"
"50058.0521988945","1","CHIR"
"26476.1708077598","1","CHIR"
"15489.4954268499","1","CHIR"
"11752.7866439726","1","CHIR"
"36328.5703804607","1","CHIR"
"22211.9526753997","1","CHIR"
"13672.2892651363","1","CHIR"
"10105.6207045217","1","CHIR"
"69927.4251378601","1","CHIR"
"41821.2686254248","1","CHIR"
"25955.648305262","1","CHIR"
"14633.5700879682","1","CHIR"
