"abundance","temperature","taxa"
"18961.0978763444","1","CHIR"
"17771.8642449752","1","CHIR"
"58916.4654031256","1","CHIR"
"24866.943150451","1","CHIR"
"20467.3829193353","1","CHIR"
"15378.4737641697","1","CHIR"
"43556.9478985034","1","CHIR"
"24235.7327587829","1","CHIR"
"11003.4189518513","1","CHIR"
"6050.68797426042","1","CHIR"
"32998.8394942608","1","CHIR"
"18907.0430535693","1","CHIR"
"11346.2380689848","1","CHIR"
"7679.92296461839","1","CHIR"
"46621.3988743197","1","CHIR"
"29828.3400534891","1","CHIR"
"17268.8592300947","1","CHIR"
"8911.62233392537","1","CHIR"
"23979.4421512268","1","CHIR"
"69135.4274331668","1","CHIR"
"39891.881035977","1","CHIR"
"22427.8534052601","1","CHIR"
"22961.9991393455","1","CHIR"
"21445.3529138293","1","CHIR"
"49618.5519546045","1","CHIR"
"37510.8046944811","1","CHIR"
"20558.1068610508","1","CHIR"
"18451.9255414632","1","CHIR"
"19071.3099041315","1","CHIR"
"37031.0226591512","1","CHIR"
"13926.7578744497","1","CHIR"
"13922.5725032628","1","CHIR"
"20843.5980235277","1","CHIR"
"22358.1226728881","1","CHIR"
"13139.8610757636","1","CHIR"
"9665.81845398059","1","CHIR"
"11140.6447226336","1","CHIR"
"24418.0266469415","1","CHIR"
"12385.1724726659","1","CHIR"
"13900.6400103394","1","CHIR"
"17130.6283750665","1","CHIR"
"18854.9700554173","1","CHIR"
"19017.4237740735","1","CHIR"
"17303.2391205052","1","CHIR"
"13339.0072051611","1","CHIR"
"56965.6274439475","1","CHIR"
"32679.1775668692","1","CHIR"
"18457.8106162366","1","CHIR"
"25064.7835834527","1","CHIR"
"25684.63462682","1","CHIR"
"37845.6767605928","1","CHIR"
"21124.505593197","1","CHIR"
"28574.3557133735","1","CHIR"
"37386.8256641607","1","CHIR"
"17821.7920844022","1","CHIR"
"31259.2835002569","1","CHIR"
"41462.3253953559","1","CHIR"
"35430.269983091","1","CHIR"
"14282.2288789681","1","CHIR"
"23162.4886438757","1","CHIR"
"30844.0896440049","1","CHIR"
"17608.2230551326","1","CHIR"
"7994.89760637887","1","CHIR"
"22458.3788510642","1","CHIR"
"30024.0842668249","1","CHIR"
"15910.9790552383","1","CHIR"
"16553.0605104209","1","CHIR"
"30999.26976283","1","CHIR"
"28495.1976993937","1","CHIR"
"15893.8745042861","1","CHIR"
"23035.7233877812","1","CHIR"
"23586.2732143987","1","CHIR"
"20616.4586470269","1","CHIR"
"20622.7806396381","1","CHIR"
"27093.8755132828","1","CHIR"
"39323.7663049175","1","CHIR"
"35932.3563465342","1","CHIR"
"19919.8775640437","1","CHIR"
"43373.5605210022","1","CHIR"
"22177.4813915177","1","CHIR"
"35691.9957926606","1","CHIR"
"36342.0759592769","1","CHIR"
"48224.8236205031","1","CHIR"
"16980.3382942167","1","CHIR"
"25053.4263790125","1","CHIR"
"33253.7824677328","1","CHIR"
"13410.5797317758","1","CHIR"
"8637.08450780329","1","CHIR"
"19021.791253383","1","CHIR"
"25628.9607676178","1","CHIR"
"14818.6229669636","1","CHIR"
"10449.0190713145","1","CHIR"
"33159.1430654869","1","CHIR"
"29492.4792604965","1","CHIR"
"21621.164907616","1","CHIR"
"11657.6981895633","1","CHIR"
"19875.0475571529","1","CHIR"
"60918.6507373865","1","CHIR"
"40947.5364641179","1","CHIR"
"28472.7089324191","1","CHIR"
"15097.749448592","1","CHIR"
"26159.9950962675","1","CHIR"
"59375.199555954","1","CHIR"
"44703.2768338902","1","CHIR"
"24530.8018403767","1","CHIR"
"11729.5920119298","1","CHIR"
"27932.3982118086","1","CHIR"
"50485.031300925","1","CHIR"
"27860.8730815032","1","CHIR"
"11894.9959520197","1","CHIR"
"21180.4240048593","1","CHIR"
"32646.0995800263","1","CHIR"
"21253.8313358464","1","CHIR"
"10412.4953451829","1","CHIR"
"17407.0529548769","1","CHIR"
"27619.1080845124","1","CHIR"
"20869.0335604392","1","CHIR"
"15733.588703134","1","CHIR"
"24702.9715858705","1","CHIR"
"24294.5680917209","1","CHIR"
"16526.0278541085","1","CHIR"
"15652.2870486536","1","CHIR"
"15525.8393322372","1","CHIR"
"50394.0045970127","1","CHIR"
"30850.0702108207","1","CHIR"
"18009.0232822174","1","CHIR"
"31864.0875920402","1","CHIR"
"25411.081718149","1","CHIR"
"52919.7491312088","1","CHIR"
"29669.3111132465","1","CHIR"
"15996.7382239253","1","CHIR"
"45988.8586728345","1","CHIR"
"22290.8766593649","1","CHIR"
"46252.7515120572","1","CHIR"
"17258.8340363964","1","CHIR"
"40679.8954881514","1","CHIR"
"17879.6023813353","1","CHIR"
"29220.4049995472","1","CHIR"
"31750.1482521072","1","CHIR"
"21576.5981071546","1","CHIR"
"9803.60123923885","1","CHIR"
"11410.3250359644","1","CHIR"
"39907.5471876937","1","CHIR"
"21201.0289100673","1","CHIR"
"23576.063471736","1","CHIR"
"13638.5886173239","1","CHIR"
"25284.1866870707","1","CHIR"
"15901.7891531054","1","CHIR"
"30568.6336256753","1","CHIR"
"24784.6159019284","1","CHIR"
"25521.0803005981","1","CHIR"
"32548.5018782359","1","CHIR"
"23299.7725814846","1","CHIR"
"39971.7708965454","1","CHIR"
"50818.6070355197","1","CHIR"
"28514.4168090317","1","CHIR"
"31404.827509536","1","CHIR"
"15536.716409774","1","CHIR"
"36195.6795799782","1","CHIR"
"51853.9763652552","1","CHIR"
"33326.5048419664","1","CHIR"
"14360.8398597773","1","CHIR"
"28197.5885464152","1","CHIR"
"36860.9958819522","1","CHIR"
"19022.8531116908","1","CHIR"
"12116.1502155512","1","CHIR"
"20718.4630012845","1","CHIR"
"28177.0717159387","1","CHIR"
"21157.1989029771","1","CHIR"
"11050.2539055797","1","CHIR"
"29335.0673219419","1","CHIR"
"34037.8455649849","1","CHIR"
"25656.7557079464","1","CHIR"
"14027.5630487823","1","CHIR"
"12933.4018239029","1","CHIR"
"71316.8232989785","1","CHIR"
"41070.7382830004","1","CHIR"
"32491.4241445489","1","CHIR"
"17252.4078164735","1","CHIR"
"18108.3294899077","1","CHIR"
"72179.4794114229","1","CHIR"
"41015.5619257308","1","CHIR"
"29282.5737135005","1","CHIR"
"14065.9296772697","1","CHIR"
"15309.6812668799","1","CHIR"
"67150.048567226","1","CHIR"
"32237.8180080367","1","CHIR"
"12561.0367050631","1","CHIR"
"15334.6279809076","1","CHIR"
"45059.4535926924","1","CHIR"
"19963.9597548617","1","CHIR"
"10659.744102068","1","CHIR"
"11060.4565817578","1","CHIR"
"36946.680845653","1","CHIR"
"19005.5491870519","1","CHIR"
"12997.2540824358","1","CHIR"
"15650.8539180607","1","CHIR"
"26370.2082049168","1","CHIR"
"24243.0879042931","1","CHIR"
"13495.9792684115","1","CHIR"
"7136.63850174408","1","CHIR"
"65053.541018451","1","CHIR"
"42717.9967714133","1","CHIR"
"24405.1925401431","1","CHIR"
"12692.3770834836","1","CHIR"
"12136.9951599318","1","CHIR"
"58113.9098973836","1","CHIR"
"33062.2890521982","1","CHIR"
"31430.477148604","1","CHIR"
"20647.2135730866","1","CHIR"
"9605.51710491463","1","CHIR"
"60800.3185559735","1","CHIR"
"45415.8886686351","1","CHIR"
"23039.7635630821","1","CHIR"
"9768.21122116949","1","CHIR"
"42892.6739220349","1","CHIR"
"21394.3094758969","1","CHIR"
"15914.1512285148","1","CHIR"
"7197.93371958733","1","CHIR"
"25080.0871844338","1","CHIR"
"20096.9852741322","1","CHIR"
"10603.8426345253","1","CHIR"
"25703.844934019","1","CHIR"
"28466.768435011","1","CHIR"
"28650.7524094574","1","CHIR"
"15839.7879532364","1","CHIR"
"42379.0251483668","1","CHIR"
"35487.582300184","1","CHIR"
"20059.5915037379","1","CHIR"
"29118.3561868087","1","CHIR"
"23808.7374857832","1","CHIR"
"58465.8673974397","1","CHIR"
"41642.2896623889","1","CHIR"
"23165.3473176771","1","CHIR"
"38234.0004361918","1","CHIR"
"19277.1433564473","1","CHIR"
"49713.7651187332","1","CHIR"
"31779.1411339166","1","CHIR"
"39566.384549972","1","CHIR"
"13847.0774464594","1","CHIR"
"36631.1722016112","1","CHIR"
"28623.2096070909","1","CHIR"
"11533.1377587864","1","CHIR"
"7194.40175272024","1","CHIR"
"27412.0107731451","1","CHIR"
"23490.197204847","1","CHIR"
"13267.8301546461","1","CHIR"
"7480.8287350774","1","CHIR"
"44595.1674072458","1","CHIR"
"31750.6203408844","1","CHIR"
"17776.7470324253","1","CHIR"
"9233.88279475485","1","CHIR"
"27034.6688458614","1","CHIR"
"68928.3261974069","1","CHIR"
"39750.5681755644","1","CHIR"
"22284.4776298726","1","CHIR"
"15528.9613196625","1","CHIR"
"35735.7689529616","1","CHIR"
"60322.486651068","1","CHIR"
"34194.3470645195","1","CHIR"
"24304.9981171558","1","CHIR"
"11598.0401788159","1","CHIR"
"31310.5522841831","1","CHIR"
"33831.9776345509","1","CHIR"
"20118.0289196","1","CHIR"
"9029.82844619447","1","CHIR"
"30027.9916675747","1","CHIR"
"19904.0928416753","1","CHIR"
"10894.2621833184","1","CHIR"
"9644.5572635593","1","CHIR"
"18483.4393947513","1","CHIR"
"21448.0582474342","1","CHIR"
"15081.1446310386","1","CHIR"
"10113.1570517623","1","CHIR"
"28540.0970399292","1","CHIR"
"19390.3331851132","1","CHIR"
"24929.6625844058","1","CHIR"
"13686.0145113923","1","CHIR"
"7331.74663854954","1","CHIR"
"64884.510468017","1","CHIR"
"37411.3627309918","1","CHIR"
"29703.4806029015","1","CHIR"
"15795.6981064169","1","CHIR"
"18073.6408778489","1","CHIR"
"37339.3283645721","1","CHIR"
"21002.6141997985","1","CHIR"
"40896.719533068","1","CHIR"
"20907.8531892405","1","CHIR"
"10925.8203732232","1","CHIR"
"21114.7580641633","1","CHIR"
"50707.0985565365","1","CHIR"
"19118.3570728457","1","CHIR"
"11943.1221349085","1","CHIR"
"19393.2079873341","1","CHIR"
"19077.8387371034","1","CHIR"
"19282.0021463558","1","CHIR"
"8787.33483655297","1","CHIR"
"23957.6915539391","1","CHIR"
"27304.1324136321","1","CHIR"
"14444.2463779123","1","CHIR"
"11807.0085194759","1","CHIR"
"32607.0747515743","1","CHIR"
"43412.5185702689","1","CHIR"
"24556.010434575","1","CHIR"
"20138.207418107","1","CHIR"
"24064.7954609982","1","CHIR"
"13273.0152655538","1","CHIR"
"44122.0362356451","1","CHIR"
"40529.9165413235","1","CHIR"
"34280.8302314003","1","CHIR"
"18727.3012984461","1","CHIR"
"9687.77358467213","1","CHIR"
"61268.6529994141","1","CHIR"
"32025.3936829114","1","CHIR"
"23109.9230821583","1","CHIR"
"11334.3849736548","1","CHIR"
"59112.5888873296","1","CHIR"
"21104.1185122488","1","CHIR"
"16813.4315578805","1","CHIR"
"20982.1209972641","1","CHIR"
"8411.29555374988","1","CHIR"
"11033.5346763154","1","CHIR"
"15730.8505866026","1","CHIR"
"13621.7607554161","1","CHIR"
"14428.725864698","1","CHIR"
"11937.8896040615","1","CHIR"
"25968.2392067956","1","CHIR"
"25102.9823405952","1","CHIR"
"20180.5873916961","1","CHIR"
"10977.5967929847","1","CHIR"
"34655.5309190478","1","CHIR"
"46979.2347114836","1","CHIR"
"33220.447621082","1","CHIR"
"18412.6148278522","1","CHIR"
"13908.9393601353","1","CHIR"
"41909.5850875296","1","CHIR"
"47594.3721280557","1","CHIR"
"42758.8191570177","1","CHIR"
"23178.7831998301","1","CHIR"
"11172.3510701668","1","CHIR"
"40592.4785930441","1","CHIR"
"50325.5185676503","1","CHIR"
"27778.5476894285","1","CHIR"
"14532.669625826","1","CHIR"
"32025.1404651322","1","CHIR"
"34554.0713568316","1","CHIR"
"24361.7925298368","1","CHIR"
"10994.3722498127","1","CHIR"
"23376.6709312143","1","CHIR"
"31468.611982281","1","CHIR"
"21834.6149796651","1","CHIR"
"11837.7006814019","1","CHIR"
"35832.5535210521","1","CHIR"
"30498.3385292185","1","CHIR"
"19972.5208787437","1","CHIR"
"10649.7316690745","1","CHIR"
"13297.7597621215","1","CHIR"
"72799.8689173322","1","CHIR"
"42021.1164499814","1","CHIR"
"24026.7822839383","1","CHIR"
"16046.1931817319","1","CHIR"
"18655.8479223369","1","CHIR"
"61495.886305724","1","CHIR"
"34919.9439929743","1","CHIR"
"30333.0416611931","1","CHIR"
"14829.4188419394","1","CHIR"
"16926.0281332216","1","CHIR"
"47742.9695567534","1","CHIR"
"32172.985067673","1","CHIR"
"12949.8496301721","1","CHIR"
"17254.2119158328","1","CHIR"
"31873.7309811424","1","CHIR"
"12612.5885575767","1","CHIR"
"28046.497612024","1","CHIR"
"12796.6722712514","1","CHIR"
"18109.3079081752","1","CHIR"
"24428.9349957534","1","CHIR"
"13689.1092567241","1","CHIR"
"23698.2836073865","1","CHIR"
"20535.2034321443","1","CHIR"
"36290.4781413004","1","CHIR"
"20289.4661661073","1","CHIR"
"41427.3218857864","1","CHIR"
"25253.0694606477","1","CHIR"
"14202.9400630605","1","CHIR"
"40505.1757225507","1","CHIR"
"33118.5888172138","1","CHIR"
"55163.8094858751","1","CHIR"
"30893.8564937548","1","CHIR"
"17343.3867877953","1","CHIR"
