"abundance","temperature","taxa"
"25556.6622928691","1","CHIR"
"22867.2106261819","1","CHIR"
"45654.4176141929","1","CHIR"
"26082.2014021954","1","CHIR"
"16456.2932001043","1","CHIR"
"26562.3652715288","1","CHIR"
"16841.7080008939","1","CHIR"
"15935.2770949046","1","CHIR"
"26165.4210305135","1","CHIR"
"15219.5919778116","1","CHIR"
"12239.1238682994","1","CHIR"
"20454.8237787392","1","CHIR"
"15396.9205809061","1","CHIR"
"11225.1383120691","1","CHIR"
"30242.3418805123","1","CHIR"
"26407.2752593117","1","CHIR"
"19039.7729169782","1","CHIR"
"16991.6934645072","1","CHIR"
"33324.9108630354","1","CHIR"
"32877.4183727929","1","CHIR"
"25726.0231684179","1","CHIR"
"18316.5156854231","1","CHIR"
"39812.3619186929","1","CHIR"
"79400.1004422885","1","CHIR"
"68978.7782619248","1","CHIR"
"40309.9312514413","1","CHIR"
"25355.3608520125","1","CHIR"
"16516.2137449796","1","CHIR"
"46780.5990336843","1","CHIR"
"38499.8722486557","1","CHIR"
"19745.8963755377","1","CHIR"
"13578.2878003089","1","CHIR"
"21882.7887243913","1","CHIR"
"26725.5189299201","1","CHIR"
"18067.1341468057","1","CHIR"
"11601.5767518762","1","CHIR"
"14327.8509270552","1","CHIR"
"24465.1242256263","1","CHIR"
"16346.283196973","1","CHIR"
"15291.2806795577","1","CHIR"
"21848.9612443057","1","CHIR"
"23955.7870627782","1","CHIR"
"18503.1869350562","1","CHIR"
"18608.6440062528","1","CHIR"
"28318.8524136318","1","CHIR"
"39723.2130211994","1","CHIR"
"31332.6466424714","1","CHIR"
"24313.3814528505","1","CHIR"
"33143.8670833168","1","CHIR"
"59993.2357889736","1","CHIR"
"80104.4096268526","1","CHIR"
"46995.5491976975","1","CHIR"
"32067.6351317356","1","CHIR"
"17593.6003014335","1","CHIR"
"40386.4109570971","1","CHIR"
"49366.5069492731","1","CHIR"
"22575.4511061277","1","CHIR"
"15397.8180708719","1","CHIR"
"19257.532627765","1","CHIR"
"38624.3088798022","1","CHIR"
"14908.2947637171","1","CHIR"
"30307.6430990171","1","CHIR"
"13834.846920168","1","CHIR"
"23401.8518773831","1","CHIR"
"14294.9506019903","1","CHIR"
"12490.4856446581","1","CHIR"
"27144.6640862618","1","CHIR"
"18838.618437875","1","CHIR"
"19145.5041687449","1","CHIR"
"12739.1244184083","1","CHIR"
"49803.9121637852","1","CHIR"
"31156.9705349132","1","CHIR"
"31234.7299486556","1","CHIR"
"22626.6392011037","1","CHIR"
"20631.8651967098","1","CHIR"
"89630.1747417965","1","CHIR"
"57818.8487232824","1","CHIR"
"34450.6799963702","1","CHIR"
"25807.5763437483","1","CHIR"
"18565.4753028374","1","CHIR"
"42461.7115159413","1","CHIR"
"25619.2417651004","1","CHIR"
"16122.8210586641","1","CHIR"
"26967.346329997","1","CHIR"
"16031.2303442669","1","CHIR"
"16223.0460975681","1","CHIR"
"29467.8566917178","1","CHIR"
"16105.5700453035","1","CHIR"
"12892.3378960225","1","CHIR"
"19812.1980459005","1","CHIR"
