"abundance","temperature","taxa"
"39999.8084359065","1","CHIR"
"18991.781286699","1","CHIR"
"8722.06418764483","1","CHIR"
"83610.5727644118","1","CHIR"
"31772.4042920233","1","CHIR"
"11641.3186139212","1","CHIR"
"4394.06922973768","1","CHIR"
"70188.1762714061","1","CHIR"
"28828.6470073092","1","CHIR"
"12504.5908122489","1","CHIR"
"5706.89787892916","1","CHIR"
"57018.5755579732","1","CHIR"
"28985.6853601346","1","CHIR"
"15370.0093448943","1","CHIR"
"8690.98105088609","1","CHIR"
"38209.537086013","1","CHIR"
"21629.217603716","1","CHIR"
"12332.2224553565","1","CHIR"
"7092.876914803","1","CHIR"
"61205.354084098","1","CHIR"
"44696.1789359034","1","CHIR"
"27705.9405122777","1","CHIR"
"10925.3976415923","1","CHIR"
"5687.18455975938","1","CHIR"
"124774.725565033","1","CHIR"
"71676.5798621052","1","CHIR"
"40390.9650897045","1","CHIR"
"18973.2226566825","1","CHIR"
"8249.73108448261","1","CHIR"
"83964.3877778958","1","CHIR"
"31894.6563898658","1","CHIR"
"11552.5350838023","1","CHIR"
"4112.94486090778","1","CHIR"
"70560.6336673711","1","CHIR"
"28925.3514726208","1","CHIR"
"12614.028640982","1","CHIR"
"5525.47856713741","1","CHIR"
"57342.2690556683","1","CHIR"
"29119.1731876859","1","CHIR"
"15544.6462397153","1","CHIR"
"8431.76503298745","1","CHIR"
"38272.3936909399","1","CHIR"
"21569.4111569835","1","CHIR"
"12282.0032551816","1","CHIR"
"7168.38188636744","1","CHIR"
"61352.1317797464","1","CHIR"
"44809.8545391197","1","CHIR"
"27473.2612140392","1","CHIR"
"10874.4325711366","1","CHIR"
"5631.3648466669","1","CHIR"
"124995.604632747","1","CHIR"
"71693.0289937257","1","CHIR"
"40115.3647871989","1","CHIR"
"18926.4629544024","1","CHIR"
"8249.41976607917","1","CHIR"
"84175.2145435959","1","CHIR"
"31922.6688805843","1","CHIR"
"11478.9190258493","1","CHIR"
"4147.5082322299","1","CHIR"
"70756.2441217523","1","CHIR"
"28958.408112852","1","CHIR"
"12513.2238368847","1","CHIR"
"5527.12717350137","1","CHIR"
"57493.4944169374","1","CHIR"
"29181.1134987988","1","CHIR"
"15432.7979830495","1","CHIR"
"8387.67069948651","1","CHIR"
"38445.0631621615","1","CHIR"
"21700.0718788718","1","CHIR"
"12409.0424481483","1","CHIR"
"6765.31875372801","1","CHIR"
"61286.1128220675","1","CHIR"
"44763.5181294632","1","CHIR"
"27581.0461459252","1","CHIR"
"11115.4548915732","1","CHIR"
"5176.35455996432","1","CHIR"
"125221.623437476","1","CHIR"
"71740.2873049202","1","CHIR"
"40204.461232439","1","CHIR"
"18937.1545589498","1","CHIR"
"8010.0625153604","1","CHIR"
"84410.6968097505","1","CHIR"
"32015.903625429","1","CHIR"
"11444.5469930122","1","CHIR"
"4002.43700397755","1","CHIR"
"71005.5690754387","1","CHIR"
"28931.9821119581","1","CHIR"
"12507.0834344117","1","CHIR"
"5504.75103300245","1","CHIR"
"57579.4708165669","1","CHIR"
"29171.4700978617","1","CHIR"
"15474.7882557855","1","CHIR"
"8286.00151233482","1","CHIR"
"38406.6016569735","1","CHIR"
"21530.0870373468","1","CHIR"
"12344.92168988","1","CHIR"
"6802.31177353786","1","CHIR"
"61442.4011147643","1","CHIR"
"44859.9051194416","1","CHIR"
"27515.5715254322","1","CHIR"
"10831.8192557128","1","CHIR"
"5083.01975705101","1","CHIR"
"125318.042948796","1","CHIR"
"71925.4119432291","1","CHIR"
"40329.4773104705","1","CHIR"
"18932.6230801064","1","CHIR"
"8045.03412557108","1","CHIR"
"84444.098597768","1","CHIR"
"32082.224991446","1","CHIR"
"11463.3973533775","1","CHIR"
"3976.02305255037","1","CHIR"
"71048.8837262218","1","CHIR"
"28978.3102492039","1","CHIR"
"12545.7693168993","1","CHIR"
"5536.50211756533","1","CHIR"
"57614.9351564713","1","CHIR"
"29266.8004531989","1","CHIR"
"15538.3125606639","1","CHIR"
"8254.69690352804","1","CHIR"
"38409.496755152","1","CHIR"
"21615.2042844088","1","CHIR"
"12318.5428567171","1","CHIR"
"6688.25621990545","1","CHIR"
"61557.5296935391","1","CHIR"
"44927.9834990213","1","CHIR"
"27555.7092010299","1","CHIR"
"10946.0926730318","1","CHIR"
"5038.6488371349","1","CHIR"
"125545.495641178","1","CHIR"
"71933.0317332802","1","CHIR"
"40224.2233046538","1","CHIR"
"18898.0127348408","1","CHIR"
"7989.78981776643","1","CHIR"
"84579.6811887132","1","CHIR"
"32105.3727751572","1","CHIR"
"11331.1626575954","1","CHIR"
"4020.29869785026","1","CHIR"
"71242.7291512123","1","CHIR"
"28897.3898989306","1","CHIR"
"12489.5271595664","1","CHIR"
"5530.68782117976","1","CHIR"
"57688.894951603","1","CHIR"
"29273.8776250087","1","CHIR"
"15523.362552665","1","CHIR"
"8171.51080313282","1","CHIR"
"38474.8888165533","1","CHIR"
"21617.5239013256","1","CHIR"
"12352.4388644446","1","CHIR"
"6537.19675174684","1","CHIR"
"61591.0950503852","1","CHIR"
"44987.9353297126","1","CHIR"
"27621.046334535","1","CHIR"
"10838.5986016503","1","CHIR"
"4516.58687457367","1","CHIR"
"125783.166322869","1","CHIR"
"72075.7151001043","1","CHIR"
"40320.4728426941","1","CHIR"
"18921.5680959222","1","CHIR"
"7769.87046311578","1","CHIR"
"84832.4841554226","1","CHIR"
"32139.8417087504","1","CHIR"
"11377.2555128731","1","CHIR"
"3825.44365197588","1","CHIR"
"71407.8476123082","1","CHIR"
"29047.5477325645","1","CHIR"
"12479.5545551613","1","CHIR"
"5483.08567802601","1","CHIR"
"57883.8097816669","1","CHIR"
"29300.2012099737","1","CHIR"
"15509.6700481345","1","CHIR"
"8152.73877877854","1","CHIR"
"38527.8572344179","1","CHIR"
"21612.0013447161","1","CHIR"
"12338.6022047427","1","CHIR"
"6505.90451325308","1","CHIR"
"61686.880411136","1","CHIR"
"45025.2499722778","1","CHIR"
"27522.4491399593","1","CHIR"
"10884.3088608984","1","CHIR"
"4539.44402265974","1","CHIR"
"125883.03276275","1","CHIR"
"72132.0198810856","1","CHIR"
"40258.8107668645","1","CHIR"
"18923.1082923748","1","CHIR"
"7708.04437689578","1","CHIR"
"84876.9326306639","1","CHIR"
"32166.7545095177","1","CHIR"
"11344.5182386859","1","CHIR"
"3873.02400464349","1","CHIR"
"71473.8070793081","1","CHIR"
"29015.4542478671","1","CHIR"
"12475.4552796832","1","CHIR"
"5451.06006175875","1","CHIR"
"57941.5943460007","1","CHIR"
"29331.013426386","1","CHIR"
"15494.7814303581","1","CHIR"
"8093.11029505472","1","CHIR"
"38591.8872735455","1","CHIR"
"21623.9689574673","1","CHIR"
"12286.0347468188","1","CHIR"
"6425.88542063143","1","CHIR"
"61699.2639930235","1","CHIR"
"45058.3331000495","1","CHIR"
"27551.119605677","1","CHIR"
"10692.9022638894","1","CHIR"
"4347.62255684579","1","CHIR"
"125899.70717715","1","CHIR"
"72148.4561985933","1","CHIR"
"40273.0779763009","1","CHIR"
"19078.8897995038","1","CHIR"
"7631.9626686596","1","CHIR"
"84925.6211091384","1","CHIR"
"32144.8508857445","1","CHIR"
"11463.8730378607","1","CHIR"
"3794.18480976012","1","CHIR"
"71460.986933965","1","CHIR"
"29057.493898471","1","CHIR"
"12503.5966139985","1","CHIR"
"5406.30931611247","1","CHIR"
"57978.9864026233","1","CHIR"
"29380.0404176252","1","CHIR"
"15521.0903890685","1","CHIR"
"8040.90994698582","1","CHIR"
"38586.1953346526","1","CHIR"
"21675.6109525104","1","CHIR"
"12304.8012674445","1","CHIR"
"6435.14723791312","1","CHIR"
"61685.4373085451","1","CHIR"
"45025.7539382706","1","CHIR"
"27636.1080245286","1","CHIR"
"10785.8813119122","1","CHIR"
"4362.04858486829","1","CHIR"
"125901.257218486","1","CHIR"
"72146.1411746565","1","CHIR"
