"biomass","temperature","taxa"
"8532.46242291308","1","CHIR"
"8532.395089136","1","CHIR"
"8532.39508284008","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508914627","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912873","1","CHIR"
"8532.39508912489","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912024","1","CHIR"
"8531.80652057759","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508874038","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39338352607","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508283992","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912683","1","CHIR"
"8532.39508912675","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912269","1","CHIR"
"8532.39509075811","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912209","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508874032","1","CHIR"
"8502.97722170454","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508923575","1","CHIR"
"8532.39508912165","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508923992","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508912024","1","CHIR"
"8379.58168713339","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.395121149","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.49341424659","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.05103815034","1","CHIR"
"8532.39547064974","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912166","1","CHIR"
"8532.39508912251","1","CHIR"
"8532.39508923873","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912238","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912166","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508874048","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39338335279","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39498565146","1","CHIR"
"8532.39508283994","1","CHIR"
"8532.39508912024","1","CHIR"
"8541.17670144944","1","CHIR"
"8532.39512111126","1","CHIR"
"8532.39508284033","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39509050317","1","CHIR"
"8532.39508874036","1","CHIR"
"8532.39508912024","1","CHIR"
"8441.6835685044","1","CHIR"
"8532.39508912487","1","CHIR"
"8532.39508874034","1","CHIR"
"8532.6524530942","1","CHIR"
"8532.39508912168","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508912196","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508923958","1","CHIR"
"8532.45639460667","1","CHIR"
"8532.39508874054","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.3950891221","1","CHIR"
"8532.39508912024","1","CHIR"
"8523.53113934432","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508920555","1","CHIR"
"8532.3954723207","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.3933833604","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508284024","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508909851","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508923733","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912166","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.395089122","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.36671405754","1","CHIR"
"8534.08876326937","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508502345","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508874036","1","CHIR"
"8532.39508912156","1","CHIR"
"8334.11204005025","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912156","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.3950890985","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508920702","1","CHIR"
"8532.39510161749","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912196","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.39508912024","1","CHIR"
"8532.3950891217","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912167","1","CHIR"
"8532.39508912165","1","CHIR"
"8532.39508912156","1","CHIR"
