"abundance","temperature","taxa"
"8314.47183222013","1","GAMM"
"8558.53211430167","1","GAMM"
"8413.96371795889","1","GAMM"
"8497.64191386253","1","GAMM"
"8330.68900212565","1","GAMM"
"8409.42777922845","1","GAMM"
"8312.18509259697","1","GAMM"
"8332.89798045902","1","GAMM"
"8503.74226296666","1","GAMM"
"8487.44833905072","1","GAMM"
"8536.19763702843","1","GAMM"
"8586.22137640701","1","GAMM"
"8528.20070806959","1","GAMM"
"8615.54899898871","1","GAMM"
"8654.68976175204","1","GAMM"
"8666.05318421327","1","GAMM"
"8545.45325685319","1","GAMM"
"8539.66179282428","1","GAMM"
"8301.93216075216","1","GAMM"
"8079.91403739595","1","GAMM"
"8079.29678187019","1","GAMM"
"7794.71026221354","1","GAMM"
"7919.55969496933","1","GAMM"
"7996.41908753303","1","GAMM"
"8345.87521896789","1","GAMM"
"8299.56697865765","1","GAMM"
"8314.45097230123","1","GAMM"
"8558.5222081028","1","GAMM"
"8413.96044988987","1","GAMM"
"8497.6398089143","1","GAMM"
"8330.68793032634","1","GAMM"
"8409.4270768222","1","GAMM"
"8312.18470431139","1","GAMM"
"8332.89772624109","1","GAMM"
"8503.74210572354","1","GAMM"
"8487.4482516814","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538383","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164641","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431136","1","GAMM"
"8332.89772624107","1","GAMM"
"10494.427542468","1","GAMM"
"12220.5871017013","1","GAMM"
"10929.8412773601","1","GAMM"
"9644.65020433817","1","GAMM"
"8673.16903687226","1","GAMM"
"8755.29983336426","1","GAMM"
"8747.07527955134","1","GAMM"
