"";"means";"V2"
"1";NA;2004-05-23
"2";NA;2004-06-06
"3";NA;2004-06-20
"4";NA;2004-07-04
"5";NA;2004-07-18
"6";NA;2004-08-01
"7";NA;2004-08-15
"8";NA;2004-08-29
"9";NA;2004-09-12
"10";NA;2004-09-26
"11";NA;2004-10-10
"12";NA;2004-10-24
"13";NA;2004-11-07
"14";NA;2004-11-21
"15";NA;2004-12-05
"16";NA;2004-12-19
"17";NA;2005-01-02
"18";NA;2005-01-16
"19";NA;2005-01-30
"20";NA;2005-02-13
"21";NA;2005-02-27
"22";NA;2005-03-13
"23";NA;2005-03-27
"24";NA;2005-04-10
"25";NA;2005-04-24
"26";NA;2005-05-08
"27";NA;2005-05-22
"28";NA;2005-06-05
"29";NA;2005-06-19
"30";NA;2005-07-03
"31";NA;2005-07-17
"32";NA;2005-07-31
"33";NA;2005-08-14
"34";NA;2005-08-28
"35";NA;2005-09-11
"36";NA;2005-09-25
"37";NA;2005-10-09
"38";NA;2005-10-23
"39";NA;2005-11-06
"40";NA;2005-11-20
"41";NA;2005-12-04
"42";NA;2005-12-18
"43";NA;2006-01-01
"44";NA;2006-01-15
"45";NA;2006-01-29
"46";NA;2006-02-12
"47";NA;2006-02-26
"48";NA;2006-03-12
"49";NA;2006-03-26
"50";NA;2006-04-09
"51";NA;2006-04-23
"52";NA;2006-05-07
"53";NA;2006-05-21
"54";NA;2006-06-04
"55";NA;2006-06-18
"56";NA;2006-07-02
"57";NA;2006-07-16
"58";NA;2006-07-30
"59";NA;2006-08-13
"60";NA;2006-08-27
"61";NA;2006-09-10
"62";NA;2006-09-24
"63";NA;2006-10-08
"64";NA;2006-10-22
"65";NA;2006-11-05
"66";NA;2006-11-19
"67";NA;2006-12-03
"68";NA;2006-12-17
"69";NA;2006-12-31
"70";NA;2007-01-14
"71";NA;2007-01-28
"72";NA;2007-02-11
"73";NA;2007-02-25
"74";NA;2007-03-11
"75";NA;2007-03-25
"76";NA;2007-04-08
"77";NA;2007-04-22
"78";NA;2007-05-06
"79";NA;2007-05-20
"80";NA;2007-06-03
"81";NA;2007-06-17
"82";NA;2007-07-01
"83";NA;2007-07-15
"84";NA;2007-07-29
"85";NA;2007-08-12
"86";NA;2007-08-26
"87";NA;2007-09-09
"88";NA;2007-09-23
"89";NA;2007-10-07
"90";NA;2007-10-21
"91";NA;2007-11-04
"92";NA;2007-11-18
"93";NA;2007-12-02
"94";NA;2007-12-16
"95";NA;2007-12-30
"96";NA;2008-01-13
"97";NA;2008-01-27
"98";NA;2008-02-10
"99";NA;2008-02-24
"100";NA;2008-03-09
"101";NA;2008-03-23
"102";NA;2008-04-06
"103";NA;2008-04-20
"104";NA;2008-05-04
"105";NA;2008-05-18
"106";NA;2008-06-01
"107";NA;2008-06-15
"108";NA;2008-06-29
"109";NA;2008-07-13
"110";NA;2008-07-27
"111";NA;2008-08-10
"112";NA;2008-08-24
"113";NA;2008-09-07
"114";NA;2008-09-21
"115";NA;2008-10-05
"116";NA;2008-10-19
"117";NA;2008-11-02
"118";NA;2008-11-16
"119";NA;2008-11-30
"120";NA;2008-12-14
"121";NA;2008-12-28
"122";NA;2009-01-11
"123";NA;2009-01-25
"124";NA;2009-02-08
"125";NA;2009-02-22
"126";NA;2009-03-08
"127";NA;2009-03-22
"128";NA;2009-04-05
