"abundance","temperature","taxa"
"6066.51604945294","1","HYOS"
"6084.59843979054","1","HYOS"
"6109.863276048","1","HYOS"
"6145.37048912595","1","HYOS"
"6178.71071670251","1","HYOS"
"6207.78359649299","1","HYOS"
"6238.65851917042","1","HYOS"
"6261.79510140948","1","HYOS"
"6279.16704248452","1","HYOS"
"6298.01632099701","1","HYOS"
"6309.99888115144","1","HYOS"
"6317.05635833036","1","HYOS"
"6318.16598548068","1","HYOS"
"6320.48750726986","1","HYOS"
"6307.68715216146","1","HYOS"
"6289.81732498441","1","HYOS"
"6269.64502024514","1","HYOS"
"6241.77422170384","1","HYOS"
"6215.45248745079","1","HYOS"
"6180.27539535346","1","HYOS"
"6147.6905162361","1","HYOS"
"6121.26753199855","1","HYOS"
"6094.53692534783","1","HYOS"
"6074.85721344244","1","HYOS"
"6064.45062552817","1","HYOS"
"6059.65507168863","1","HYOS"
"6064.23650439465","1","HYOS"
"6082.3925735136","1","HYOS"
"6107.727786132","1","HYOS"
"6143.30209450089","1","HYOS"
"6176.70800291121","1","HYOS"
"6205.84529027554","1","HYOS"
"6236.78280680915","1","HYOS"
"6259.98131044433","1","HYOS"
"6277.41394378471","1","HYOS"
"6296.32212629319","1","HYOS"
"6308.36267832144","1","HYOS"
"6315.47681106754","1","HYOS"
"6316.64191848986","1","HYOS"
"6319.01721403811","1","HYOS"
"6306.2702669564","1","HYOS"
"6288.45234830031","1","HYOS"
"6268.33021238014","1","HYOS"
"6240.50818041371","1","HYOS"
"6214.23312161441","1","HYOS"
"6179.10153877394","1","HYOS"
"6146.56000654498","1","HYOS"
"6120.17808562079","1","HYOS"
"6093.48680256075","1","HYOS"
"6073.84431963144","1","HYOS"
"6063.47280414424","1","HYOS"
"6058.71071330938","1","HYOS"
"6063.32370327391","1","HYOS"
"6081.50926781361","1","HYOS"
"6106.87265260962","1","HYOS"
"6142.47381912847","1","HYOS"
"6175.90601963383","1","HYOS"
"6205.0690899864","1","HYOS"
"6236.0316641449","1","HYOS"
"6259.25495720975","1","HYOS"
"6276.71188881143","1","HYOS"
"6295.64365444501","1","HYOS"
"6307.70742529941","1","HYOS"
"6314.84424258725","1","HYOS"
"6316.0315647746","1","HYOS"
"6318.42839250901","1","HYOS"
"6305.70283197416","1","HYOS"
"6287.90570009042","1","HYOS"
"6267.80365475075","1","HYOS"
"6240.0011521504","1","HYOS"
"6213.74478553544","1","HYOS"
"6178.63142813871","1","HYOS"
"6146.10725552986","1","HYOS"
"6119.74177965149","1","HYOS"
"6093.06624476942","1","HYOS"
"6073.43867105783","1","HYOS"
"6063.08120093561","1","HYOS"
"6058.33251080179","1","HYOS"
"6062.95813805133","1","HYOS"
"6081.15551386106","1","HYOS"
"6106.53017985025","1","HYOS"
"6142.14210128233","1","HYOS"
"6175.58483005835","1","HYOS"
"6204.75822491125","1","HYOS"
"6235.73083321702","1","HYOS"
"6258.96405319392","1","HYOS"
"6276.4307151641","1","HYOS"
"6295.37192491468","1","HYOS"
"6307.44499414066","1","HYOS"
"6314.59089595698","1","HYOS"
"6315.78711466957","1","HYOS"
"6318.1925656875","1","HYOS"
"6305.47557023997","1","HYOS"
"6287.68676334989","1","HYOS"
"6267.59276425855","1","HYOS"
"6239.79808319379","1","HYOS"
"6213.54920286099","1","HYOS"
"6178.44314486165","1","HYOS"
"6145.92592490799","1","HYOS"
"6119.56703538403","1","HYOS"
"6092.89780773318","1","HYOS"
"6073.27620522614","1","HYOS"
"6062.92436029789","1","HYOS"
"6058.18103714622","1","HYOS"
"6062.81172559212","1","HYOS"
"6081.0138317271","1","HYOS"
"6106.39301571904","1","HYOS"
"6142.00924436905","1","HYOS"
"6175.45618959935","1","HYOS"
"6204.63371931389","1","HYOS"
"6235.61034621546","1","HYOS"
"6258.84754186727","1","HYOS"
"6276.31810082092","1","HYOS"
"6295.26309293275","1","HYOS"
"6307.33988617188","1","HYOS"
"6314.4894263761","1","HYOS"
"6315.68920820136","1","HYOS"
"6318.09811291559","1","HYOS"
"6305.3845478772","1","HYOS"
"6287.59907525376","1","HYOS"
"6267.50829880019","1","HYOS"
"6239.716750381","1","HYOS"
"6213.47086842587","1","HYOS"
"6178.36773396126","1","HYOS"
"6145.85329867015","1","HYOS"
"6119.4970470976","1","HYOS"
"6092.83034560076","1","HYOS"
"6073.21113466033","1","HYOS"
"6062.86154271027","1","HYOS"
"6058.12036911527","1","HYOS"
"6062.75308464004","1","HYOS"
"6080.95708532671","1","HYOS"
"6106.33807882773","1","HYOS"
"6141.9560325628","1","HYOS"
"6175.40466652705","1","HYOS"
"6204.58385229925","1","HYOS"
"6235.56208869557","1","HYOS"
"6258.80087665599","1","HYOS"
"6276.27299640504","1","HYOS"
"6295.21950340781","1","HYOS"
"6307.29778817227","1","HYOS"
"6314.44878561068","1","HYOS"
"6315.64999452448","1","HYOS"
"6318.06028250709","1","HYOS"
