"abundance","temperature","taxa"
"1328.31123775263","1","HYOS"
"1370.61199161249","1","HYOS"
"1417.24914723192","1","HYOS"
"1464.32768094304","1","HYOS"
"1511.14748968228","1","HYOS"
"1560.07398581354","1","HYOS"
"1607.73103979455","1","HYOS"
"1654.56177018314","1","HYOS"
"1703.50354985213","1","HYOS"
"1751.30483780094","1","HYOS"
"1798.45105727531","1","HYOS"
"1844.57114711755","1","HYOS"
"1892.78619202391","1","HYOS"
"1935.91704576615","1","HYOS"
"1977.9439072163","1","HYOS"
"2019.82926252954","1","HYOS"
"2058.67158772088","1","HYOS"
"2098.62312940415","1","HYOS"
"2134.77077582711","1","HYOS"
"2172.17514297535","1","HYOS"
"2212.37448847529","1","HYOS"
"2251.87604538338","1","HYOS"
"2294.60745405624","1","HYOS"
"2341.58451393106","1","HYOS"
"2391.40900004024","1","HYOS"
"2445.73499484473","1","HYOS"
"2506.72681739516","1","HYOS"
"2571.72733885281","1","HYOS"
"2643.12759248988","1","HYOS"
"2714.05398970985","1","HYOS"
"2783.28686855688","1","HYOS"
"2854.76132984791","1","HYOS"
"2922.6925156916","1","HYOS"
"2987.90276538361","1","HYOS"
"3055.17106565233","1","HYOS"
"3119.08407295368","1","HYOS"
"3180.51418510101","1","HYOS"
"3238.80870120637","1","HYOS"
"3298.87796215235","1","HYOS"
"3349.33294527553","1","HYOS"
"3396.6064532133","1","HYOS"
"3442.29774127589","1","HYOS"
"3482.10107400878","1","HYOS"
"3522.46486426437","1","HYOS"
"3555.90080126963","1","HYOS"
"3590.27280213069","1","HYOS"
"3628.00037850608","1","HYOS"
"3664.04891209865","1","HYOS"
"3704.13694116167","1","HYOS"
"3749.82937471597","1","HYOS"
"3798.85027456316","1","HYOS"
"3853.76662553819","1","HYOS"
"3917.75395520073","1","HYOS"
"3986.61418796683","1","HYOS"
"4063.32833763761","1","HYOS"
"4138.19038706074","1","HYOS"
"4209.49532540031","1","HYOS"
"4282.42368038164","1","HYOS"
"4349.12710834958","1","HYOS"
"499.972367121384","1","HYOS"
"911.858536431216","1","HYOS"
"919.268379294506","1","HYOS"
"925.816382589921","1","HYOS"
"934.923362173395","1","HYOS"
"947.545112732364","1","HYOS"
"960.354877406177","1","HYOS"
"974.775790449344","1","HYOS"
"991.078419063554","1","HYOS"
"1007.71635251565","1","HYOS"
"1026.42661378349","1","HYOS"
"1044.62129416379","1","HYOS"
