"abundance","temperature","taxa"
"5815.51438428405","1","HYOS"
"5891.48244756596","1","HYOS"
"5971.29815417953","1","HYOS"
"6041.87293411091","1","HYOS"
"6111.55532259095","1","HYOS"
"6178.32076798223","1","HYOS"
"6231.97406851526","1","HYOS"
"6281.30474196533","1","HYOS"
"6319.71098760151","1","HYOS"
"6355.87562536243","1","HYOS"
"6381.50624043265","1","HYOS"
"6399.17540602954","1","HYOS"
"6408.40997085756","1","HYOS"
"6417.0866443082","1","HYOS"
"6408.60657105729","1","HYOS"
"6393.66554462897","1","HYOS"
"6375.26118375653","1","HYOS"
"6318.41143876436","1","HYOS"
"6216.68811099142","1","HYOS"
"6059.51553625329","1","HYOS"
"5741.44137821793","1","HYOS"
"5505.58364673151","1","HYOS"
"5498.88542306472","1","HYOS"
"5548.51662308169","1","HYOS"
"5642.16244026399","1","HYOS"
"5733.93070998112","1","HYOS"
"5813.91270081345","1","HYOS"
"5889.92825091684","1","HYOS"
"5969.79034455566","1","HYOS"
"6040.41160494171","1","HYOS"
"6110.13964362091","1","HYOS"
"6176.95017322765","1","HYOS"
"6230.64865554077","1","HYOS"
"6280.02380062176","1","HYOS"
"6318.47405946185","1","HYOS"
"6354.68165227178","1","HYOS"
"6380.35464846497","1","HYOS"
"6398.06522403154","1","HYOS"
"6407.34025353296","1","HYOS"
"6416.05605154838","1","HYOS"
"6407.6146310583","1","HYOS"
"6392.71099736725","1","HYOS"
"6374.3426298727","1","HYOS"
"6317.52995245839","1","HYOS"
"6215.84441228482","1","HYOS"
"6058.71079625982","1","HYOS"
"5740.68361953419","1","HYOS"
"5504.86235576734","1","HYOS"
"5498.18525598387","1","HYOS"
"5547.83640990493","1","HYOS"
"5641.49981725362","1","HYOS"
"5733.2864365409","1","HYOS"
"5813.28716417592","1","HYOS"
"5889.32124976427","1","HYOS"
"5969.20144985204","1","HYOS"
"6039.84085412611","1","HYOS"
"6109.58671334552","1","HYOS"
"6176.41484341853","1","HYOS"
"6230.13096547156","1","HYOS"
"6279.52347398124","1","HYOS"
"6317.99091824652","1","HYOS"
"6354.21528409012","1","HYOS"
"6379.90483006731","1","HYOS"
"6397.63157690133","1","HYOS"
"6406.92240921432","1","HYOS"
"6415.653487262","1","HYOS"
"6407.2271631988","1","HYOS"
"6392.3381343315","1","HYOS"
"6373.98382548384","1","HYOS"
"6317.18562729622","1","HYOS"
"6215.51484872779","1","HYOS"
"6058.39645301433","1","HYOS"
"5740.38763334298","1","HYOS"
"5504.5806185924","1","HYOS"
"5497.91177052045","1","HYOS"
"5547.57071768412","1","HYOS"
"5641.24099420048","1","HYOS"
"5733.03477924513","1","HYOS"
"5813.0428239809","1","HYOS"
"5889.08414809715","1","HYOS"
"5968.97141920223","1","HYOS"
"6039.6179092627","1","HYOS"
"6109.37072810453","1","HYOS"
"6176.20573198522","1","HYOS"
"6229.92874336507","1","HYOS"
"6279.32803343017","1","HYOS"
"6317.80218987903","1","HYOS"
"6354.0331069552","1","HYOS"
"6379.72911709853","1","HYOS"
"6397.46218036377","1","HYOS"
"6406.7591852971","1","HYOS"
"6415.49623185433","1","HYOS"
"6407.07580468316","1","HYOS"
"6392.1924807594","1","HYOS"
"6373.84366356598","1","HYOS"
"6317.0511214753","1","HYOS"
"6215.38610948258","1","HYOS"
"6058.27365972236","1","HYOS"
"5740.27201178132","1","HYOS"
"5504.47056382564","1","HYOS"
"5497.80493921894","1","HYOS"
"5547.46693053184","1","HYOS"
"5641.13989010541","1","HYOS"
"5732.93647405865","1","HYOS"
"5812.94737683587","1","HYOS"
"5888.99152831023","1","HYOS"
"5968.88156134979","1","HYOS"
"6039.53081913615","1","HYOS"
"6109.28635644131","1","HYOS"
"6176.12404528593","1","HYOS"
"6229.84974771923","1","HYOS"
"6279.25168676294","1","HYOS"
"6317.72846511565","1","HYOS"
"6353.96194124328","1","HYOS"
"6379.660476448","1","HYOS"
"6397.39600708248","1","HYOS"
"6406.69542322488","1","HYOS"
"6415.43480127289","1","HYOS"
"6407.01667763171","1","HYOS"
"6392.13558226829","1","HYOS"
"6373.78891032552","1","HYOS"
"6316.99857774661","1","HYOS"
"6215.33581844957","1","HYOS"
"6058.22569148659","1","HYOS"
"5740.22684525278","1","HYOS"
"5504.42757201924","1","HYOS"
"5497.76320664349","1","HYOS"
"5547.42638710504","1","HYOS"
"5641.10039475171","1","HYOS"
"5732.89807203345","1","HYOS"
"5812.91009124094","1","HYOS"
"5888.95534716087","1","HYOS"
"5968.84645909056","1","HYOS"
"6039.49679803282","1","HYOS"
"6109.2533972531","1","HYOS"
"6176.09213493004","1","HYOS"
"6229.81888857863","1","HYOS"
"6279.22186240516","1","HYOS"
"6317.69966496783","1","HYOS"
"6353.93414075578","1","HYOS"
"6379.63366234609","1","HYOS"
"6397.37015683195","1","HYOS"
"6406.67051488984","1","HYOS"
"6415.41080371421","1","HYOS"
"6406.99357992909","1","HYOS"
"6392.11335513727","1","HYOS"
"6373.76752122312","1","HYOS"
"6316.97805177959","1","HYOS"
"6215.31617249153","1","HYOS"
"6058.20695292682","1","HYOS"
