"biomass","temperature","taxa"
"18068.16033385","1","HYOS"
"18070.417578608","1","HYOS"
"18072.0067462825","1","HYOS"
"18070.5488311047","1","HYOS"
"18065.3070460798","1","HYOS"
"18068.542979531","1","HYOS"
"18068.3355476829","1","HYOS"
"18067.5219558318","1","HYOS"
"18072.0441913251","1","HYOS"
"18072.5798960232","1","HYOS"
"18068.2289719477","1","HYOS"
"18068.7048942327","1","HYOS"
"18067.8998853826","1","HYOS"
"18051.7729277169","1","HYOS"
"18066.8168976612","1","HYOS"
"18070.2392270106","1","HYOS"
"18069.8318622352","1","HYOS"
"18058.1579466693","1","HYOS"
"18068.5154725546","1","HYOS"
"18072.8428789667","1","HYOS"
"18070.4767482205","1","HYOS"
"18071.4191181554","1","HYOS"
"18070.4757163695","1","HYOS"
"18071.5583888282","1","HYOS"
"18069.6430804319","1","HYOS"
"18070.3472939247","1","HYOS"
"18072.0071911775","1","HYOS"
"18066.3802286922","1","HYOS"
"18072.331309009","1","HYOS"
"18060.5396858542","1","HYOS"
"18068.9616700065","1","HYOS"
"18070.0784049985","1","HYOS"
"18068.7024128041","1","HYOS"
"18072.7686327139","1","HYOS"
"18064.4928560864","1","HYOS"
"18063.8102839697","1","HYOS"
"18061.5353453171","1","HYOS"
"18070.5755354778","1","HYOS"
"18064.5423222958","1","HYOS"
"18069.726837151","1","HYOS"
"18071.7700176042","1","HYOS"
"18072.1542296328","1","HYOS"
"18067.224672688","1","HYOS"
"18070.5959999332","1","HYOS"
"18069.8995907099","1","HYOS"
"18066.2935712292","1","HYOS"
"18072.2818820959","1","HYOS"
"18067.2801364419","1","HYOS"
"18066.6665672177","1","HYOS"
"18069.0820435227","1","HYOS"
"18069.8004855561","1","HYOS"
"18063.9525011624","1","HYOS"
"18067.1941408317","1","HYOS"
"18068.231184889","1","HYOS"
"18059.6013753777","1","HYOS"
"18069.2134527118","1","HYOS"
"18070.0084301704","1","HYOS"
"18071.6397952376","1","HYOS"
"18072.6050830429","1","HYOS"
"18071.7624274697","1","HYOS"
"18069.5381505153","1","HYOS"
"18070.2549161127","1","HYOS"
"18069.779599448","1","HYOS"
"18070.6758932562","1","HYOS"
"18072.7595480298","1","HYOS"
"18069.2573380845","1","HYOS"
"18068.1549662057","1","HYOS"
"18067.6738228242","1","HYOS"
"18066.8760304011","1","HYOS"
"18069.9796126251","1","HYOS"
"18072.8297297156","1","HYOS"
"18068.3365636504","1","HYOS"
"18071.6606372803","1","HYOS"
"18060.3008475767","1","HYOS"
"18070.6414188075","1","HYOS"
"18070.5427004824","1","HYOS"
"18057.0470142925","1","HYOS"
"18069.3613912792","1","HYOS"
"18071.8722857839","1","HYOS"
"18070.1853344458","1","HYOS"
"18072.895789421","1","HYOS"
"18071.8563793393","1","HYOS"
"18068.0409201026","1","HYOS"
"18031.2010725928","1","HYOS"
"18072.5867202299","1","HYOS"
"18072.1940616492","1","HYOS"
"18044.5827018801","1","HYOS"
"18070.4287149898","1","HYOS"
"18071.998914595","1","HYOS"
"18067.6842870201","1","HYOS"
"18072.2994435252","1","HYOS"
"18071.6404951161","1","HYOS"
"18070.4507350778","1","HYOS"
"18063.9367818868","1","HYOS"
"18072.5425875203","1","HYOS"
"18062.5456004728","1","HYOS"
"18066.9879398953","1","HYOS"
"18060.8875650095","1","HYOS"
"18071.6813832986","1","HYOS"
"18072.2894135814","1","HYOS"
"18068.511888511","1","HYOS"
"18069.2774350627","1","HYOS"
"18065.865422164","1","HYOS"
"18071.2876910615","1","HYOS"
"18069.2228126844","1","HYOS"
"18059.5784357411","1","HYOS"
"18071.8286097975","1","HYOS"
"18065.860844358","1","HYOS"
"18056.3486064406","1","HYOS"
"18069.2721501023","1","HYOS"
"18071.844979361","1","HYOS"
"18063.8186634219","1","HYOS"
"18072.5480243717","1","HYOS"
"18072.451441576","1","HYOS"
"18069.0020751244","1","HYOS"
"18071.5876971192","1","HYOS"
"18072.3402699412","1","HYOS"
"18069.0041119828","1","HYOS"
"18067.4684814645","1","HYOS"
"18069.7393575309","1","HYOS"
"18071.4795922496","1","HYOS"
"18069.0136030556","1","HYOS"
"18065.8920094575","1","HYOS"
"18070.4099309497","1","HYOS"
"18043.3323531197","1","HYOS"
"18071.763241272","1","HYOS"
"18071.5965700597","1","HYOS"
"18063.5076613966","1","HYOS"
"18072.6036713161","1","HYOS"
"18070.6678339033","1","HYOS"
"18067.1790926397","1","HYOS"
"18072.2549623152","1","HYOS"
"18069.1328552438","1","HYOS"
"18065.9791848787","1","HYOS"
"17988.3199906242","1","HYOS"
"18068.6307573074","1","HYOS"
"18063.7763475627","1","HYOS"
"18071.9549312431","1","HYOS"
"18071.8262565736","1","HYOS"
"18064.3389998621","1","HYOS"
"18072.8606664595","1","HYOS"
"18064.9871972444","1","HYOS"
"18069.6120693439","1","HYOS"
"18068.2194359675","1","HYOS"
"18064.7840325884","1","HYOS"
"18072.8418593081","1","HYOS"
"18069.9396436866","1","HYOS"
"18069.3427575516","1","HYOS"
"18063.0993567695","1","HYOS"
"18066.3565553134","1","HYOS"
"18059.3507791276","1","HYOS"
"18067.948480807","1","HYOS"
"18069.4540068929","1","HYOS"
"18070.1865628326","1","HYOS"
"18070.4582124636","1","HYOS"
"18068.7246930873","1","HYOS"
"18068.9008001126","1","HYOS"
"18071.2983357606","1","HYOS"
"18068.4357201635","1","HYOS"
"18072.6056459093","1","HYOS"
"18067.1094519079","1","HYOS"
"18066.9857922462","1","HYOS"
"18071.6152793355","1","HYOS"
"18057.5654816703","1","HYOS"
"18067.9428232442","1","HYOS"
"18070.2755409268","1","HYOS"
"18066.2779077412","1","HYOS"
"18068.1516020048","1","HYOS"
"18063.7412837379","1","HYOS"
"18071.7482109546","1","HYOS"
"18070.4935992822","1","HYOS"
"18064.0330607275","1","HYOS"
"18070.8457904733","1","HYOS"
"18069.6926953412","1","HYOS"
"18068.9477063785","1","HYOS"
"18071.0391588961","1","HYOS"
"18063.2943533429","1","HYOS"
"18070.6463678566","1","HYOS"
"18071.8949975404","1","HYOS"
"18063.073130999","1","HYOS"
"18068.9350286593","1","HYOS"
"18072.7480684949","1","HYOS"
"18049.2256709829","1","HYOS"
"18068.712268337","1","HYOS"
"18069.0361402402","1","HYOS"
"18044.2329325647","1","HYOS"
"18069.9615370874","1","HYOS"
"18070.5276326311","1","HYOS"
"18065.3942246817","1","HYOS"
"18071.0731602968","1","HYOS"
"18070.7421421615","1","HYOS"
"18071.2995236714","1","HYOS"
