"biomass","temperature","taxa"
"60683.7783551078","1","HYOS"
"60684.013031198","1","HYOS"
"60684.1730951654","1","HYOS"
"60684.0235541177","1","HYOS"
"60683.5883596764","1","HYOS"
"60683.8171958101","1","HYOS"
"60683.8011890917","1","HYOS"
"60683.7310794706","1","HYOS"
"60684.1760381025","1","HYOS"
"60684.2316902802","1","HYOS"
"60683.789062405","1","HYOS"
"60683.8357062647","1","HYOS"
"60683.7620134165","1","HYOS"
"60683.3821509005","1","HYOS"
"60683.6782516711","1","HYOS"
"60683.9945501978","1","HYOS"
"60683.9532929375","1","HYOS"
"60683.4191935082","1","HYOS"
"60683.8142704898","1","HYOS"
"60684.2576911128","1","HYOS"
"60684.0189142427","1","HYOS"
"60684.1132359006","1","HYOS"
"60684.0164457486","1","HYOS"
"60684.1264529514","1","HYOS"
"60683.9365576374","1","HYOS"
"60684.004809474","1","HYOS"
"60684.1726370653","1","HYOS"
"60683.6428757773","1","HYOS"
"60684.2066462982","1","HYOS"
"60683.4547710827","1","HYOS"
"60683.8656692472","1","HYOS"
"60683.9777449623","1","HYOS"
"60683.8401977185","1","HYOS"
"60684.250677232","1","HYOS"
"60683.5435062457","1","HYOS"
"60683.5183381106","1","HYOS"
"60683.4764770723","1","HYOS"
"60684.0273284053","1","HYOS"
"60683.5409283569","1","HYOS"
"60683.9432136251","1","HYOS"
"60684.1493715724","1","HYOS"
"60684.1879860834","1","HYOS"
"60683.7045647739","1","HYOS"
"60684.0310214325","1","HYOS"
"60683.9617885157","1","HYOS"
"60683.639824712","1","HYOS"
"60684.2006593536","1","HYOS"
"60683.7106460037","1","HYOS"
"60683.6678507566","1","HYOS"
"60683.8844628312","1","HYOS"
"60683.9500348633","1","HYOS"
"60683.5271098687","1","HYOS"
"60683.7057903714","1","HYOS"
"60683.7909400709","1","HYOS"
"60683.4485775464","1","HYOS"
"60683.8948821877","1","HYOS"
"60683.9725053252","1","HYOS"
"60684.1362992789","1","HYOS"
"60684.2351371028","1","HYOS"
"60684.1475813484","1","HYOS"
"60683.9247897676","1","HYOS"
"60683.996311387","1","HYOS"
"60683.9498209885","1","HYOS"
"60684.0377970578","1","HYOS"
"60684.248812858","1","HYOS"
"60683.9012946918","1","HYOS"
"60683.7838606875","1","HYOS"
"60683.7369328209","1","HYOS"
"60683.6789150632","1","HYOS"
"60683.9700692721","1","HYOS"
"60684.2578921528","1","HYOS"
"60683.7960058215","1","HYOS"
"60684.1379739232","1","HYOS"
"60683.4456445069","1","HYOS"
"60684.0342825481","1","HYOS"
"60684.0251134965","1","HYOS"
"60683.4162163695","1","HYOS"
"60683.9092411017","1","HYOS"
"60684.1592616375","1","HYOS"
"60683.9888305126","1","HYOS"
"60684.2635077263","1","HYOS"
"60684.1569922346","1","HYOS"
"60683.7700002687","1","HYOS"
"60683.3165977419","1","HYOS"
"60684.2323597082","1","HYOS"
"60684.1924155429","1","HYOS"
"60683.355002641","1","HYOS"
"60684.0137773992","1","HYOS"
"60684.1711082308","1","HYOS"
"60683.7407670269","1","HYOS"
"60684.203383314","1","HYOS"
"60684.1347115322","1","HYOS"
"60684.0161705817","1","HYOS"
"60683.5345619182","1","HYOS"
"60684.2273975625","1","HYOS"
"60683.483952793","1","HYOS"
"60683.6886955906","1","HYOS"
"60683.4702206382","1","HYOS"
"60684.140670306","1","HYOS"
"60684.202148714","1","HYOS"
"60683.8178216768","1","HYOS"
"60683.8999364302","1","HYOS"
"60683.6098261207","1","HYOS"
"60684.100946009","1","HYOS"
"60683.8951317595","1","HYOS"
"60683.4372357915","1","HYOS"
"60684.1546652178","1","HYOS"
"60683.6113067146","1","HYOS"
"60683.4110171932","1","HYOS"
"60683.9018016246","1","HYOS"
"60684.1575241432","1","HYOS"
"60683.5182151693","1","HYOS"
"60684.2279325242","1","HYOS"
"60684.2187852546","1","HYOS"
"60683.8723768179","1","HYOS"
"60684.1309210241","1","HYOS"
"60684.2072190444","1","HYOS"
"60683.8705750191","1","HYOS"
"60683.7215924027","1","HYOS"
"60683.9437173434","1","HYOS"
"60684.1195970134","1","HYOS"
"60683.8740892558","1","HYOS"
