"biomass","temperature","taxa"
"20510.4396098692","1","HYOS"
"20514.3923703125","1","HYOS"
"20517.3540709964","1","HYOS"
"20514.6265110869","1","HYOS"
"20505.9073854077","1","HYOS"
"20511.0590235633","1","HYOS"
"20510.7162745196","1","HYOS"
"20509.4172375286","1","HYOS"
"20517.4197819105","1","HYOS"
"20518.4426338599","1","HYOS"
"20510.5452648881","1","HYOS"
"20511.335998578","1","HYOS"
"20510.0140098598","1","HYOS"
"20484.2946592905","1","HYOS"
"20508.306894311","1","HYOS"
"20514.0625685931","1","HYOS"
"20513.3218092932","1","HYOS"
"20494.5227377416","1","HYOS"
"20511.0135864017","1","HYOS"
"20518.9400458551","1","HYOS"
"20514.4984524907","1","HYOS"
"20516.2482053386","1","HYOS"
"20514.4930556273","1","HYOS"
"20516.503552806","1","HYOS"
"20512.9823303125","1","HYOS"
"20514.2620689482","1","HYOS"
"20517.353118183","1","HYOS"
"20507.619887195","1","HYOS"
"20517.9687657213","1","HYOS"
"20498.3161074567","1","HYOS"
"20511.7716487186","1","HYOS"
"20513.7701281438","1","HYOS"
"20511.3303985904","1","HYOS"
"20518.799581469","1","HYOS"
"20504.61965813","1","HYOS"
"20503.5353028747","1","HYOS"
"20499.8991716061","1","HYOS"
"20514.6791012773","1","HYOS"
"20504.7015347451","1","HYOS"
"20513.1311928368","1","HYOS"
"20516.9053955322","1","HYOS"
"20517.630735751","1","HYOS"
"20508.9530993376","1","HYOS"
"20514.7212567687","1","HYOS"
"20513.4479134527","1","HYOS"
"20507.480313863","1","HYOS"
"20517.873507516","1","HYOS"
"20509.0380717634","1","HYOS"
"20508.0690854964","1","HYOS"
"20511.9807178561","1","HYOS"
"20513.2626713991","1","HYOS"
"20503.7581887342","1","HYOS"
"20508.9017530725","1","HYOS"
"20510.5465762","1","HYOS"
"20496.8079610538","1","HYOS"
"20512.2151401565","1","HYOS"
"20513.6428594605","1","HYOS"
"20516.663707884","1","HYOS"
"20518.4940375676","1","HYOS"
"20516.8888305013","1","HYOS"
"20512.7911452547","1","HYOS"
"20514.0908338806","1","HYOS"
"20513.2268806414","1","HYOS"
"20514.8653722269","1","HYOS"
"20518.7777332765","1","HYOS"
"20512.2916751923","1","HYOS"
"20510.4266387655","1","HYOS"
"20509.6612853288","1","HYOS"
"20508.403419172","1","HYOS"
"20513.5917906998","1","HYOS"
"20518.9218148018","1","HYOS"
"20510.7218011348","1","HYOS"
"20516.7017195042","1","HYOS"
"20497.9421473926","1","HYOS"
"20514.8030961331","1","HYOS"
"20514.6201939027","1","HYOS"
"20492.7337414644","1","HYOS"
"20512.4753204543","1","HYOS"
"20517.0978875202","1","HYOS"
"20513.9655829607","1","HYOS"
"20519.043785357","1","HYOS"
"20517.0650973403","1","HYOS"
"20510.2425800814","1","HYOS"
"20451.4039061287","1","HYOS"
"20518.4555959753","1","HYOS"
