"biomass","temperature","taxa"
"49345.8074909875","1","HYOS"
"49345.9319713598","1","HYOS"
"49346.0224114853","1","HYOS"
"49345.9380801656","1","HYOS"
"49345.699518421","1","HYOS"
"49345.8284032269","1","HYOS"
"49345.8194093323","1","HYOS"
"49345.7810251775","1","HYOS"
"49346.0242469349","1","HYOS"
"49346.0558271721","1","HYOS"
"49345.8130185881","1","HYOS"
"49345.8382680601","1","HYOS"
"49345.7981193567","1","HYOS"
"49345.5807862092","1","HYOS"
"49345.751360945","1","HYOS"
"49345.9221187451","1","HYOS"
"49345.9003402588","1","HYOS"
"49345.6043423047","1","HYOS"
"49345.826868474","1","HYOS"
"49346.0707419385","1","HYOS"
"49345.935164758","1","HYOS"
"49345.9881405424","1","HYOS"
"49345.9342129125","1","HYOS"
"49345.9958040503","1","HYOS"
"49345.8913059776","1","HYOS"
"49345.9276868894","1","HYOS"
"49346.0222505849","1","HYOS"
"49345.7313986629","1","HYOS"
"49346.0414874112","1","HYOS"
"49345.6247902451","1","HYOS"
"49345.8541573626","1","HYOS"
"49345.9132503851","1","HYOS"
"49345.8402491133","1","HYOS"
"49346.0666548807","1","HYOS"
"49345.6739632362","1","HYOS"
"49345.6601330103","1","HYOS"
"49345.636782441","1","HYOS"
"49345.9398981947","1","HYOS"
"49345.6726743232","1","HYOS"
"49345.8950333627","1","HYOS"
"49346.0086934525","1","HYOS"
"49346.0308470474","1","HYOS"
"49345.7663742556","1","HYOS"
"49345.9416886581","1","HYOS"
"49345.9045773684","1","HYOS"
"49345.7295584903","1","HYOS"
"49346.0382691862","1","HYOS"
"49345.769708614","1","HYOS"
"49345.7454499793","1","HYOS"
"49345.8637141351","1","HYOS"
"49345.8986201264","1","HYOS"
"49345.6648356231","1","HYOS"
"49345.7668953322","1","HYOS"
"49345.8139378355","1","HYOS"
"49345.6211499542","1","HYOS"
"49345.8695721078","1","HYOS"
"49345.9101861554","1","HYOS"
"49346.0012296454","1","HYOS"
"49346.0576395796","1","HYOS"
"49346.0078849322","1","HYOS"
"49345.8853150843","1","HYOS"
"49345.9230061615","1","HYOS"
"49345.8982243699","1","HYOS"
"49345.945675706","1","HYOS"
"49346.0658022501","1","HYOS"
"49345.8725421979","1","HYOS"
"49345.8100570818","1","HYOS"
"49345.7845972211","1","HYOS"
"49345.7518921234","1","HYOS"
"49345.9088731499","1","HYOS"
"49346.0705247286","1","HYOS"
"49345.8170333263","1","HYOS"
"49346.0022889687","1","HYOS"
"49345.6197270564","1","HYOS"
"49345.943738548","1","HYOS"
"49345.9385410077","1","HYOS"
"49345.6025506664","1","HYOS"
"49345.8769917909","1","HYOS"
"49346.0143927561","1","HYOS"
"49345.9191240255","1","HYOS"
"49346.0740074599","1","HYOS"
"49346.0131997839","1","HYOS"
"49345.8027242914","1","HYOS"
"49345.5371369492","1","HYOS"
"49346.0562244792","1","HYOS"
"49346.0332998056","1","HYOS"
"49345.5626587327","1","HYOS"
"49345.9324355942","1","HYOS"
"49346.0215134237","1","HYOS"
"49345.7865756963","1","HYOS"
"49346.0396495465","1","HYOS"
"49346.0006234857","1","HYOS"
"49345.9337013398","1","HYOS"
"49345.6686904385","1","HYOS"
"49346.0534199864","1","HYOS"
"49345.6412893989","1","HYOS"
"49345.757353245","1","HYOS"
"49345.6331817185","1","HYOS"
"49346.0037195943","1","HYOS"
"49346.0389872677","1","HYOS"
"49345.8284488469","1","HYOS"
"49345.8723178912","1","HYOS"
"49345.7123641844","1","HYOS"
"49345.9809232897","1","HYOS"
"49345.8697917277","1","HYOS"
"49345.6148917181","1","HYOS"
"49346.011795644","1","HYOS"
"49345.7131825332","1","HYOS"
"49345.599438647","1","HYOS"
"49345.8729249185","1","HYOS"
"49346.0131718275","1","HYOS"
"49345.6600746037","1","HYOS"
"49346.0537369725","1","HYOS"
"49346.0483673247","1","HYOS"
"49345.8575809136","1","HYOS"
"49345.9981171062","1","HYOS"
"49346.0418811049","1","HYOS"
"49345.8568041439","1","HYOS"
"49345.7760034176","1","HYOS"
"49345.89540419","1","HYOS"
"49345.9916588226","1","HYOS"
"49345.8584674512","1","HYOS"
"49345.7144831118","1","HYOS"
"49345.9309322564","1","HYOS"
"49345.5559845586","1","HYOS"
"49346.0085283608","1","HYOS"
"49345.9982901458","1","HYOS"
"49345.6623903449","1","HYOS"
"49346.0574357303","1","HYOS"
"49345.9454948059","1","HYOS"
"49345.7651595355","1","HYOS"
"49346.0369217826","1","HYOS"
"49345.8657192983","1","HYOS"
"49345.7178862825","1","HYOS"
"49345.4609836783","1","HYOS"
"49345.8331237724","1","HYOS"
"49345.6645976308","1","HYOS"
"49346.0193857815","1","HYOS"
"49346.011621028","1","HYOS"
"49345.6691743472","1","HYOS"
"49346.0719036346","1","HYOS"
"49345.6903033962","1","HYOS"
"49345.8893311933","1","HYOS"
"49345.8128277529","1","HYOS"
"49345.6811703217","1","HYOS"
"49346.0705276161","1","HYOS"
"49345.9068341038","1","HYOS"
"49345.8759446195","1","HYOS"
"49345.6561871397","1","HYOS"
"49345.7305367612","1","HYOS"
"49345.618799443","1","HYOS"
"49345.8001665341","1","HYOS"
"49345.8814921783","1","HYOS"
"49345.9187234992","1","HYOS"
"49345.9341560141","1","HYOS"
"49345.8392169329","1","HYOS"
"49345.8517958693","1","HYOS"
"49345.9807692453","1","HYOS"
"49345.8231452213","1","HYOS"
"49346.0571798084","1","HYOS"
"49345.7603935992","1","HYOS"
"49345.7562883717","1","HYOS"
"49345.9991019465","1","HYOS"
"49345.609571428","1","HYOS"
"49345.7969588012","1","HYOS"
"49345.9234002556","1","HYOS"
"49345.7312541567","1","HYOS"
"49345.8075475745","1","HYOS"
"49345.6613287198","1","HYOS"
"49346.007144608","1","HYOS"
"49345.9361588961","1","HYOS"
"49345.6662797357","1","HYOS"
"49345.9553027742","1","HYOS"
"49345.8940385274","1","HYOS"
"49345.8540895571","1","HYOS"
"49345.9661621867","1","HYOS"
"49345.6518817044","1","HYOS"
"49345.9440345036","1","HYOS"
"49346.0158456003","1","HYOS"
"49345.652102088","1","HYOS"
"49345.8520120171","1","HYOS"
"49346.0650847071","1","HYOS"
"49345.570137081","1","HYOS"
"49345.8381460454","1","HYOS"
"49345.8588686778","1","HYOS"
"49345.5621003684","1","HYOS"
"49345.9074336792","1","HYOS"
"49345.9377118781","1","HYOS"
"49345.6941145627","1","HYOS"
"49345.9679808226","1","HYOS"
"49345.9492080227","1","HYOS"
"49345.980765412","1","HYOS"
"49345.8708040381","1","HYOS"
"49345.860762278","1","HYOS"
"49346.0513426043","1","HYOS"
"49345.951337484","1","HYOS"
"49345.8888844855","1","HYOS"
"49345.8142596815","1","HYOS"
"49345.9396315282","1","HYOS"
"49345.8898452074","1","HYOS"
"49345.740546327","1","HYOS"
"49346.0058115647","1","HYOS"
"49346.0534519075","1","HYOS"
"49345.9156456405","1","HYOS"
"49345.8182133317","1","HYOS"
"49345.8995448181","1","HYOS"
"49345.9127295301","1","HYOS"
"49345.7972486127","1","HYOS"
"49345.8015635768","1","HYOS"
"49345.8551001597","1","HYOS"
"49345.7946984309","1","HYOS"
