"BarcodeID","Region","Reach","RiverMile","Bank","Date","Collector","Weather","WindSpeed","Habitat","Sunset","TimeBegin","TimeElapsed","Battery","Bats","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","NotesField","NotesLab"
"L00001","GrandCanyon","CRGrandCanyon",174.82,"RB","08/09/2012","DyeB","NoRain",1,"Vegetation","19:25","19:57",0.98,,0,0,0,,"KortenhoevenE",,1.08,0,,,"BERMUDA GRASS.","Habitat originally recorded as 'Grasses-Forbes' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00002","GrandCanyon","CRGrandCanyon",30.60,"RB","04/22/2012","BaadeE","NoRain",0,"Vegetation","19:08","19:13",1.2,,0,1,1,,"MetcalfeA",,3,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00003","GrandCanyon","CRGrandCanyon",158.30,"RB","05/01/2012","BaadeE","NoRain",0,"Vegetation","19:16","19:23",1.07,,0,1,1,,"MetcalfeA",,1,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00004","GrandCanyon","CRGrandCanyon",174.82,"RB","08/09/2012","DyeB","NoRain",1,"Vegetation","19:25","20:02",1.02,,0,1,1,,"KortenhoevenE",,1.42,0,,,"ARROWEED","Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00005","GrandCanyon","CRGrandCanyon",137.70,"LB","04/30/2012","BaadeE","NoRain",0,"Vegetation","19:15","19:40",1.08,,0,1,1,,"MetcalfeA",,1.03,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. close time illegible; made best guess-JFHabitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00006","GrandCanyon","CRGrandCanyon",138.53,"LB","08/08/2012","DyeB","NoRain",0,"Vegetation","19:26","19:53",1.03,,0,0,0,,"KortenhoevenE",,1.23,0,,,"TAMARISK","Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00007","GrandCanyon","CRGrandCanyon",132.60,"RB","04/29/2012","BaadeE","NoRain",0,"Sand","19:14","19:41",0.93,,0,0,0,,"MetcalfeA",,1.43,0,,,"""""""Stone""""""","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00008","GrandCanyon","CRGrandCanyon",109.97,"RB","08/07/2012","DyeB","NoRain",1,"Sand","19:27","20:02",0.97,,0,1,0,,"KortenhoevenE",,1.37,0,,,"DRIFTWOOD. WEAK LAMP","Flagged strange bc of weak lamp (2018-06-01 TK). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00009","GrandCanyon","CRGrandCanyon",53.20,"RB","04/24/2012","BaadeE","NoRain",1,"Vegetation","19:10","19:25",1.13,,0,1,1,,"MetcalfeA",,1.03,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00010","GrandCanyon","CRGrandCanyon",109.97,"RB","08/07/2012","DyeB","NoRain",1,"Sand","19:27","20:06",1.05,,0,1,1,,"KortenhoevenE",,4.55,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00011","GrandCanyon","CRGrandCanyon",220.20,"RB","05/04/2012","BaadeE","NoRain",1,"Sand","19:18","19:25",1.25,,0,0,0,,"MetcalfeA",,0.27,0,,,"220 mile","Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00012","GrandCanyon","CRGrandCanyon",158.30,"RB","05/01/2012","BaadeE","NoRain",0,"Rock","19:16","19:21",1.07,,0,0,0,,"MetcalfeA",,0.5,0,,,,"Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00013","GrandCanyon","CRGrandCanyon",85.00,"LB","06/20/2012","BaadeE","NoRain",0,"Rock","19:49","20:00",1.17,,0,0,0,,"MetcalfeA",,3.77,0,,,"SCHIST","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00014","GrandCanyon","CRGrandCanyon",47.67,"RB","06/18/2012","BaadeE","NoRain",0,"Sand","19:48","20:15",1.17,,0,0,0,,"MetcalfeA",,0.1,0,,,,"Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00015","GrandCanyon","CRGrandCanyon",96.55,"LB","06/21/2012","BaadeE","NoRain",1,"Sand","19:49","20:10",1.08,,0,1,1,,"MetcalfeA",,1.05,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00016","GrandCanyon","CRGrandCanyon",35.07,,"06/17/2012","BaadeE","NoRain",0,"Sand","19:48","19:50",0.75,,0,1,1,,"MetcalfeA",,2.85,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM). 
JC - No river side noted."
"L00017","GrandCanyon","CRGrandCanyon",35.07,,"06/17/2012","BaadeE","NoRain",0,"Sand","19:48","19:55",0.58,,0,1,1,,"MetcalfeA",,0.77,0,,,,"Weather originally recorded as 'Clear' (2018-09-27 JDM). 
JC - No river side noted. Collector is BaadeE."
"L00018","GrandCanyon","CRGrandCanyon",14.15,"RB","06/16/2012","BaadeE","NoRain",0,"Rock","19:47","20:00",1.17,,0,0,0,,"MetcalfeA",,0.08,0,,,"On some supai","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00019","GrandCanyon","CRGrandCanyon",96.55,"LB","06/21/2012","BaadeE","NoRain",1,"Vegetation","19:49","20:05",0.92,,0,0,0,,"MetcalfeA",,0.73,0,,,,"Habitat originally recorded as 'Grasses-Forbes' (2018-09-27 JDM). Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00020","GrandCanyon","CRGrandCanyon",14.15,"RB","06/16/2012","BaadeE","NoRain",0,"Rock","19:47","19:50",1.17,,0,1,1,,"MetcalfeA",,0.37,0,,,"on some supai","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00021","GrandCanyon","CRLeesFerry",-0.20,"RB","06/15/2012","BaadeE","NoRain",0,"Rock","19:47","21:16",1.08,,0,1,1,,"MetcalfeA",,2.13,0,,,"Asphalt. Thermo is highly questionable.","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00022","GrandCanyon","CRGrandCanyon",53.53,"RB","08/05/2012","DyeB","NoRain",0,"Vegetation","19:29","20:07",1.08,,0,1,1,,"KortenhoevenE",,1.28,0,,,"IN CAMPSITE OPENING SUN GROUNDED BY MESQUITE AND ARROWEED.","Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
